Regulator	Target
ENSG00000109458	ENSG00000175899
ENSG00000033327	ENSG00000175899
ENSG00000115904	ENSG00000175899
ENSG00000179295	ENSG00000175899
ENSG00000168610	ENSG00000175899
ENSG00000177885	ENSG00000175899
ENSG00000150907	ENSG00000175899
ENSG00000049860	ENSG00000128274
ENSG00000102393	ENSG00000128274
ENSG00000213614	ENSG00000128274
ENSG00000169255	ENSG00000128274
ENSG00000134057	ENSG00000094914
ENSG00000119638	ENSG00000094914
ENSG00000157456	ENSG00000094914
ENSG00000170312	ENSG00000094914
ENSG00000151414	ENSG00000094914
ENSG00000119408	ENSG00000094914
ENSG00000164039	ENSG00000081760
ENSG00000161267	ENSG00000081760
ENSG00000117305	ENSG00000081760
ENSG00000103876	ENSG00000081760
ENSG00000182551	ENSG00000109576
ENSG00000164904	ENSG00000109576
ENSG00000062485	ENSG00000109576
ENSG00000014641	ENSG00000109576
ENSG00000117009	ENSG00000109576
ENSG00000167701	ENSG00000109576
ENSG00000197444	ENSG00000109576
ENSG00000105953	ENSG00000109576
ENSG00000131473	ENSG00000109576
ENSG00000183077	ENSG00000109576
ENSG00000146701	ENSG00000109576
ENSG00000140287	ENSG00000129673
ENSG00000132437	ENSG00000129673
ENSG00000169814	ENSG00000008311
ENSG00000164904	ENSG00000008311
ENSG00000172508	ENSG00000008311
ENSG00000172508	ENSG00000183044
ENSG00000119711	ENSG00000183044
ENSG00000137124	ENSG00000183044
ENSG00000138796	ENSG00000183044
ENSG00000108602	ENSG00000183044
ENSG00000006534	ENSG00000183044
ENSG00000143149	ENSG00000183044
ENSG00000133313	ENSG00000183044
ENSG00000164904	ENSG00000183044
ENSG00000111275	ENSG00000183044
ENSG00000113790	ENSG00000183044
ENSG00000106049	ENSG00000183044
ENSG00000136750	ENSG00000183044
ENSG00000132746	ENSG00000183044
ENSG00000184254	ENSG00000183044
ENSG00000072506	ENSG00000183044
ENSG00000112294	ENSG00000183044
ENSG00000128683	ENSG00000183044
ENSG00000171766	ENSG00000183044
ENSG00000100024	ENSG00000183044
ENSG00000072210	ENSG00000183044
ENSG00000150656	ENSG00000183044
ENSG00000101849	ENSG00000165029
ENSG00000025434	ENSG00000165029
ENSG00000084676	ENSG00000165029
ENSG00000140396	ENSG00000165029
ENSG00000177200	ENSG00000165029
ENSG00000186350	ENSG00000165029
ENSG00000131408	ENSG00000165029
ENSG00000130589	ENSG00000165029
ENSG00000143171	ENSG00000165029
ENSG00000204231	ENSG00000165029
ENSG00000137574	ENSG00000165029
ENSG00000198646	ENSG00000165029
ENSG00000177565	ENSG00000165029
ENSG00000142453	ENSG00000165029
ENSG00000005339	ENSG00000165029
ENSG00000125686	ENSG00000165029
ENSG00000186951	ENSG00000165029
ENSG00000082014	ENSG00000165029
ENSG00000170835	ENSG00000154263
ENSG00000170835	ENSG00000144452
ENSG00000170835	ENSG00000107331
ENSG00000170835	ENSG00000167972
ENSG00000091831	ENSG00000167972
ENSG00000170835	ENSG00000154262
ENSG00000170835	ENSG00000154258
ENSG00000143437	ENSG00000085563
ENSG00000185591	ENSG00000085563
ENSG00000100644	ENSG00000085563
ENSG00000066926	ENSG00000135776
ENSG00000100652	ENSG00000073734
ENSG00000119673	ENSG00000073734
ENSG00000136881	ENSG00000073734
ENSG00000177465	ENSG00000073734
ENSG00000184227	ENSG00000073734
ENSG00000097021	ENSG00000073734
ENSG00000130589	ENSG00000005471
ENSG00000101849	ENSG00000005471
ENSG00000005339	ENSG00000005471
ENSG00000177200	ENSG00000005471
ENSG00000142453	ENSG00000005471
ENSG00000186350	ENSG00000005471
ENSG00000137574	ENSG00000005471
ENSG00000186951	ENSG00000005471
ENSG00000125686	ENSG00000005471
ENSG00000082014	ENSG00000005471
ENSG00000084676	ENSG00000005471
ENSG00000198646	ENSG00000005471
ENSG00000140396	ENSG00000005471
ENSG00000177565	ENSG00000005471
ENSG00000066926	ENSG00000131269
ENSG00000066926	ENSG00000197150
ENSG00000176170	ENSG00000103222
ENSG00000126821	ENSG00000103222
ENSG00000163082	ENSG00000103222
ENSG00000012779	ENSG00000103222
ENSG00000168216	ENSG00000103222
ENSG00000132965	ENSG00000103222
ENSG00000119688	ENSG00000103222
ENSG00000063176	ENSG00000103222
ENSG00000213316	ENSG00000103222
ENSG00000149305	ENSG00000006071
ENSG00000137726	ENSG00000006071
ENSG00000150201	ENSG00000006071
ENSG00000105409	ENSG00000006071
ENSG00000069849	ENSG00000006071
ENSG00000072062	ENSG00000006071
ENSG00000091428	ENSG00000006071
ENSG00000157388	ENSG00000006071
ENSG00000114353	ENSG00000006071
ENSG00000089356	ENSG00000006071
ENSG00000143153	ENSG00000006071
ENSG00000165059	ENSG00000006071
ENSG00000074803	ENSG00000006071
ENSG00000266964	ENSG00000006071
ENSG00000007402	ENSG00000006071
ENSG00000163399	ENSG00000006071
ENSG00000129244	ENSG00000006071
ENSG00000186090	ENSG00000006071
ENSG00000125798	ENSG00000006071
ENSG00000018625	ENSG00000006071
ENSG00000132681	ENSG00000006071
ENSG00000221946	ENSG00000006071
ENSG00000167535	ENSG00000006071
ENSG00000151067	ENSG00000006071
ENSG00000165995	ENSG00000006071
ENSG00000137731	ENSG00000006071
ENSG00000166736	ENSG00000006071
ENSG00000064651	ENSG00000006071
ENSG00000079337	ENSG00000006071
ENSG00000142875	ENSG00000006071
ENSG00000127955	ENSG00000006071
ENSG00000178084	ENSG00000006071
ENSG00000132681	ENSG00000069431
ENSG00000150201	ENSG00000069431
ENSG00000018625	ENSG00000069431
ENSG00000074803	ENSG00000069431
ENSG00000137726	ENSG00000069431
ENSG00000105409	ENSG00000069431
ENSG00000166736	ENSG00000069431
ENSG00000143153	ENSG00000069431
ENSG00000178084	ENSG00000069431
ENSG00000137731	ENSG00000069431
ENSG00000064651	ENSG00000069431
ENSG00000129244	ENSG00000069431
ENSG00000069849	ENSG00000069431
ENSG00000186090	ENSG00000069431
ENSG00000266964	ENSG00000069431
ENSG00000089356	ENSG00000069431
ENSG00000149305	ENSG00000069431
ENSG00000163399	ENSG00000069431
ENSG00000221946	ENSG00000069431
ENSG00000034693	ENSG00000101986
ENSG00000134824	ENSG00000101986
ENSG00000034693	ENSG00000173208
ENSG00000034693	ENSG00000117528
ENSG00000197150	ENSG00000118777
ENSG00000100644	ENSG00000118777
ENSG00000135776	ENSG00000118777
ENSG00000143437	ENSG00000118777
ENSG00000116016	ENSG00000118777
ENSG00000131269	ENSG00000118777
ENSG00000211679	ENSG00000136754
ENSG00000178562	ENSG00000136754
ENSG00000213281	ENSG00000136754
ENSG00000213066	ENSG00000136754
ENSG00000211677	ENSG00000136754
ENSG00000128052	ENSG00000136754
ENSG00000091831	ENSG00000136754
ENSG00000162188	ENSG00000136754
ENSG00000117461	ENSG00000136754
ENSG00000186716	ENSG00000136754
ENSG00000113721	ENSG00000136754
ENSG00000168918	ENSG00000136754
ENSG00000127928	ENSG00000136754
ENSG00000097007	ENSG00000136754
ENSG00000211675	ENSG00000136754
ENSG00000147168	ENSG00000136754
ENSG00000133116	ENSG00000136754
ENSG00000138685	ENSG00000136754
ENSG00000160654	ENSG00000136754
ENSG00000211893	ENSG00000136754
ENSG00000211592	ENSG00000136754
ENSG00000150867	ENSG00000136754
ENSG00000141506	ENSG00000136754
ENSG00000177455	ENSG00000136754
ENSG00000143226	ENSG00000136754
