TCGA.G2.A2EK	TCGA.BT.A20N	TCGA.FD.A3SJ	TCGA.G2.AA3C	TCGA.DK.A1A7	TCGA.UY.A78L	TCGA.FD.A3SO	TCGA.XF.A9SV	TCGA.DK.A3WX	TCGA.G2.A3IE	TCGA.GV.A40E	TCGA.G2.A2EJ	TCGA.DK.AA6S	TCGA.DK.A3IV	TCGA.FD.A3SQ	TCGA.ZF.AA5H	TCGA.G2.A3IB	TCGA.DK.AA6P	TCGA.XF.A9SU	TCGA.FJ.A871
ENSG00000000003	19724	3804	4713	929	3979	4248	2137	5418	2638	11002	3319	1614	2826	64301	3753	2865	3981	3713	3965	2297
ENSG00000000005	0	1	4	2	2	39	0	3	0	0	0	0	0	5	4	1	0	6	2	0
ENSG00000000419	3347	2236	3480	892	1784	3161	1934	1338	3831	1878	1828	3387	1730	3984	2114	2484	2289	1172	1646	1717
ENSG00000000457	1404	882	4224	233	739	494	864	439	672	756	429	729	824	1465	795	1202	1026	599	226	417
ENSG00000000460	474	791	4079	303	424	1193	1350	259	980	444	692	883	484	1457	204	1446	800	251	244	382
ENSG00000000938	358	104	832	887	185	196	601	94	1749	265	210	210	433	509	692	649	88	305	260	43
ENSG00000000971	18154	1483	1186	258	993	694	1774	1017	2315	6133	1466	5503	3651	5283	2844	1823	4126	606	1182	357
ENSG00000001036	4332	4158	5246	5160	3482	3753	3680	2026	4258	3395	11633	6386	2187	4454	2101	7885	2372	3943	2515	3585
ENSG00000001084	3651	6804	31183	1250	6763	935	3808	1341	2566	12295	2714	2895	1008	9189	2529	2552	11926	31842	590	1077
ENSG00000001167	3404	1893	3017	539	1665	1573	1563	2553	2227	1378	2129	2247	743	2905	1437	2117	1640	1915	428	1970
ENSG00000001460	1234	593	2380	227	1091	574	259	764	343	2433	649	909	418	3547	747	2480	1281	621	640	318
ENSG00000001461	4275	2807	2934	455	2313	719	573	1088	693	5070	1676	2635	1366	5429	1578	2474	2567	2931	1229	515
ENSG00000001497	2862	1436	3252	2771	1707	6572	2637	1282	3723	1755	4687	3594	2209	3570	1987	1861	2279	1813	1701	3965
ENSG00000001561	2164	395	1168	94	597	503	92	269	90	620	606	232	427	2166	351	227	14	745	251	153
ENSG00000001617	16766	6578	12810	1261	12692	810	5203	6722	4878	21275	3677	6149	6562	7850	11891	4056	6100	16647	4857	2081
ENSG00000001626	3	1	24	0	2	1	1	2	5	126	367	15	118	1342	57	32	1	1	1	3
ENSG00000001629	2797	3654	5951	660	1680	2957	4770	1295	4086	2397	4618	3401	2203	6088	3575	5592	3087	3061	1161	1316
ENSG00000001630	283	760	174	137	58	261	445	53	253	63	183	253	37	348	232	283	579	105	89	72
ENSG00000001631	2015	1608	2559	362	979	917	1825	803	2274	1354	1791	1689	813	3312	1816	1553	1810	1431	474	614
ENSG00000002016	748	351	913	186	290	173	262	234	608	981	621	236	289	819	434	412	421	513	186	540
ENSG00000002079	10	8	32	35	1	14	9	4	93	13	94	55	7	37	16	3779	245	11	46	31
ENSG00000002330	2031	1646	5357	2814	1795	2745	1393	608	1620	3273	2334	2276	1048	3090	2199	2332	3146	1059	2592	5079
ENSG00000002549	3922	1260	4855	6571	860	3727	6133	1417	5641	1986	4120	13623	4846	8450	4920	11200	3222	2195	2557	4078
ENSG00000002586	7230	8405	6678	12212	2352	25105	13260	9804	13417	16369	10459	12206	14710	11150	12997	40534	10832	1245	16751	14999
ENSG00000002587	851	1937	1532	92	481	618	415	275	315	2067	1590	2186	276	1579	1753	2509	595	1801	641	97
ENSG00000002726	10249	1	129	0	3686	3301	153	393	2073	39	11	23	768	288	23	87	2397	174	30	24
ENSG00000002745	38	6	2	4	22	1	2	6	11	0	49	6	14	14	16	35	20	8	2	4
ENSG00000002746	5	32	479	181	61	93	112	47	97	7	78	12	58	7	155	38	335	74	16	46
ENSG00000002822	1535	1253	3343	2321	1854	2883	1627	762	1549	1780	2663	3003	1235	2713	2239	3488	2524	1107	1495	5786
ENSG00000002834	15553	7505	41353	11076	9632	13634	11178	3398	20793	22623	29017	15922	11261	24948	11700	43558	16435	19540	9531	15797
ENSG00000002919	1584	504	2198	2145	1486	1851	1080	463	1915	1123	2211	2089	1302	2576	1544	2221	1803	1207	1160	1796
ENSG00000002933	989	404	1315	1168	1175	1348	2425	447	2212	605	1041	281	1612	1163	3200	2033	134	371	1635	431
ENSG00000003056	5642	7479	7041	1246	1201	3208	5380	2058	5769	3804	4089	4466	3169	7896	4294	5884	3912	3640	947	1787
ENSG00000003096	109	44	295	10	87	32	52	12	34	68	247	574	92	300	208	24	564	65	81	110
ENSG00000003137	70	174	263	515	175	1048	1141	17	1621	86	844	1804	245	109	43	293	1879	29	133	38
ENSG00000003147	3364	1266	5757	234	1757	312	428	1130	501	4875	1837	30	1296	4457	1391	901	29	4120	1834	225
ENSG00000003249	865	1715	4012	1060	990	2641	1493	418	672	2004	1503	195	1781	1343	773	695	254	1046	1070	355
ENSG00000003393	705	989	1303	583	898	1329	1065	275	1947	964	1414	1519	1307	1698	1394	1828	1667	1142	456	1719
ENSG00000003400	795	489	614	664	183	3692	1548	104	2611	1572	1001	1979	649	2877	2557	1238	1279	722	298	73
ENSG00000003402	4155	1631	3534	1946	2504	4033	6074	1004	5455	5595	10710	13707	4788	7145	6267	5747	5976	4789	2319	1721
ENSG00000003436	1126	1001	920	173	743	337	598	359	837	1517	1092	896	656	1384	750	5450	835	266	1499	362
