TCGA.NH.A50U	TCGA.A6.A565	TCGA.AA.A02K	TCGA.AZ.6606	TCGA.NH.A8F8	TCGA.AZ.4682	TCGA.AA.3973	TCGA.AZ.6600	TCGA.NH.A6GB	TCGA.AA.3844	TCGA.AA.3972	TCGA.AA.3692
ENSG00000000003	8063	4049	11127	3488	4754	13552	8577	4641	4735	4929	2943	8903
ENSG00000000005	76	16	342	189	17	327	16	25	7	8	9	7
ENSG00000000419	2425	1579	2534	2974	3812	6102	1207	1109	3406	1089	2020	1503
ENSG00000000457	1239	1097	1181	1111	680	948	523	493	309	319	332	566
ENSG00000000460	536	498	706	875	346	990	245	174	367	252	363	389
ENSG00000000938	283	899	310	58	238	115	54	248	364	83	96	235
ENSG00000000971	626	2343	239	591	572	596	166	2653	460	223	332	443
ENSG00000001036	9276	4550	5458	4057	3203	9119	1992	3156	4644	2466	2200	2286
ENSG00000001084	5947	2560	2672	2266	2581	3871	1010	1436	2107	991	1256	1923
ENSG00000001167	3313	2016	1829	1922	1950	1892	776	1106	1176	442	562	791
ENSG00000001460	549	952	930	1061	233	305	81	571	299	222	126	177
ENSG00000001461	2869	2236	1505	3336	1277	1112	603	1978	1579	1019	794	691
ENSG00000001497	5224	2066	3198	3590	2507	4036	1789	1423	2934	1561	860	1454
ENSG00000001561	2037	2184	1328	1714	1145	2368	810	1428	476	1021	919	809
ENSG00000001617	3598	2709	845	1755	872	687	898	801	432	737	1419	1179
ENSG00000001626	17491	5376	20892	5312	8145	19406	9918	11013	9145	9699	6395	7928
ENSG00000001629	3406	3722	2761	2462	1944	2686	1218	1739	2018	1248	930	1333
ENSG00000001630	361	453	499	342	348	535	175	433	626	149	100	232
ENSG00000001631	2727	2344	1882	1239	1380	1573	689	867	1259	656	703	968
ENSG00000002016	1654	592	878	1727	537	253	220	308	457	185	133	274
ENSG00000002079	7	20	26	6	12	33	2	1	8	10	1	0
ENSG00000002330	1941	1349	1822	1193	961	2029	645	1786	731	680	484	903
ENSG00000002549	6573	5703	3901	6673	2778	4363	1229	4788	3254	2775	1309	2394
ENSG00000002586	17722	6359	10878	7619	4257	13563	3832	10210	2689	2788	3678	8584
ENSG00000002587	244	1231	222	763	245	1013	266	472	377	319	238	743
ENSG00000002726	19877	32666	6915	5541	7050	18314	7397	24894	4240	4836	4755	7878
ENSG00000002745	12	11	32	3	10	6	0	9	22	3	3	2
ENSG00000002746	33	70	20	8	53	33	8	14	26	6	14	8
ENSG00000002822	2117	1595	1987	1735	962	1377	268	926	1361	434	318	450
ENSG00000002834	21047	24585	53839	25777	16370	16205	5527	17250	20393	5384	6143	8582
ENSG00000002919	961	1732	864	1059	1298	1476	585	913	1288	551	572	1148
ENSG00000002933	16851	13781	27664	2489	1271	18426	11082	7060	1066	12764	7908	17191
ENSG00000003056	3859	4186	4970	3995	3085	3731	2277	2580	2707	2545	1425	2485
ENSG00000003096	22	174	9	79	49	60	2572	267	6	34	22	43
ENSG00000003137	43	108	24	71	166	38	14	314	35	26	91	29
ENSG00000003147	4516	4446	554	3622	3262	2770	2207	1572	2335	963	1425	2394
ENSG00000003249	1189	955	3442	1628	447	227	658	77	36	263	612	304
ENSG00000003393	1326	1302	1013	1240	1061	756	398	419	1439	304	551	611
ENSG00000003400	2469	3844	1291	2773	1076	1904	400	2705	2475	1091	842	1029
ENSG00000003402	7733	11800	5941	3455	4422	3063	1147	4372	3231	1817	1777	2202
ENSG00000003436	1223	1349	229	458	408	1676	116	1624	463	222	390	506
ENSG00000003509	950	805	1052	773	669	926	263	331	534	285	386	422
ENSG00000003756	9104	7824	3447	3645	2535	2335	1714	2842	2735	1175	1687	1943
ENSG00000003987	45	72	12	25	43	17	21	59	36	11	20	60
ENSG00000003989	448	370	45	25	102	52	45	749	28	96	11	389
ENSG00000004059	9814	6697	12967	4614	3924	12916	2888	5249	4130	4370	2530	5575
ENSG00000004139	481	506	758	310	328	304	147	288	465	80	93	222
ENSG00000004142	8742	5196	12842	6642	5250	8089	2659	4748	6446	3188	1846	4401
ENSG00000004399	20223	9198	1874	4040	2522	1048	689	2049	1466	592	630	1078
ENSG00000004455	11379	6363	9358	8673	3151	16664	1227	5479	5186	4027	2939	4594
ENSG00000004468	53	1011	50	32	87	76	26	797	154	52	22	130
ENSG00000004478	21519	6058	23070	238448	8369	9475	2482	5970	9277	6423	3320	9824
ENSG00000004487	8044	4736	6195	5866	3100	3568	1535	2848	4885	2497	2065	2670
ENSG00000004534	11922	8712	4657	3545	2836	2285	1417	2331	4088	987	1108	1076
ENSG00000004660	1106	1013	1729	1138	778	1426	316	449	690	202	180	276
ENSG00000004700	1310	1487	671	841	807	585	337	526	894	399	378	439
ENSG00000004766	1696	1720	1463	1098	733	1759	497	805	849	576	620	855
ENSG00000004776	61	389	34	53	419	310	198	2116	15	13	76	89
ENSG00000004777	1650	411	885	332	305	430	249	235	109	239	184	266
ENSG00000004779	3693	2936	7172	3897	2784	6717	1326	3046	2916	3407	1992	3394
ENSG00000004799	353	3498	950	843	267	889	363	3909	176	338	277	614
ENSG00000004809	3	9	2	4	9	2	3	1	0	1	0	2
ENSG00000004838	32	102	43	51	7	20	3	11	8	15	18	13
ENSG00000004846	7	20	5	1	4	0	1	65	0	2	1	2
ENSG00000004848	43	25	0	43	19	5	2	18	0	0	1	2
ENSG00000004864	3507	2361	2660	2261	1485	2280	956	1916	2003	1315	944	1218
ENSG00000004866	1701	1472	1082	1120	1049	2126	686	633	961	904	699	1025
ENSG00000004897	2506	3154	3106	2520	1927	2265	755	1571	2422	1114	1209	1395
ENSG00000004939	1	46	0	1	0	8	2	14	1	1	0	1
ENSG00000004948	6	4	0	0	4	2	9	4	0	0	0	4
ENSG00000004961	2375	1769	2462	1762	1105	3364	1390	1292	874	2241	692	952
ENSG00000004975	2807	1594	1531	1247	759	838	1140	969	663	682	382	812
ENSG00000005001	633	2171	155	4074	1980	1453	393	93	5836	434	695	597
ENSG00000005007	11477	9541	9417	9714	7483	5713	2917	8647	6543	2687	2917	3315
ENSG00000005020	378	4305	1587	5125	1328	1930	633	3202	1122	997	1176	1520
ENSG00000005022	28131	26536	22227	41076	15491	76205	18899	28600	23250	58109	16430	22109
ENSG00000005059	303	1349	589	836	263	781	533	445	394	345	271	258
ENSG00000005073	66	515	961	868	366	155	327	150	202	507	281	661
ENSG00000005075	2867	1810	2960	1639	1160	4862	720	1143	1486	1032	838	1360
ENSG00000005100	2167	1767	1271	2020	1126	1165	802	915	1076	616	441	690
ENSG00000005102	4	257	22	50	77	28	34	487	42	28	57	34
ENSG00000005108	70	294	38	39	77	41	22	152	23	13	12	7
ENSG00000005156	2516	2320	2373	1472	1727	1535	732	1025	1973	592	438	1362
ENSG00000005175	2412	1406	1965	1836	1179	1714	470	758	1206	1094	510	820
ENSG00000005187	2106	414	2216	3400	389	942	94	668	94	330	74	1158
ENSG00000005189	555	282	791	195	89	319	94	115	200	179	101	168
ENSG00000005194	2410	2419	4977	3173	2488	3466	1088	2199	2486	2297	1354	2329
ENSG00000005206	9440	5799	10146	3825	4703	2412	1512	3384	3982	1547	1531	2593
ENSG00000005238	1531	3282	920	1458	1760	1007	229	2026	716	383	314	292
ENSG00000005243	194	393	142	47	238	152	157	229	103	72	70	108
ENSG00000005249	65	799	65	473	80	179	40	1026	149	92	84	131
ENSG00000005302	2068	2724	2157	988	918	2482	897	708	773	980	600	1022
ENSG00000005339	5892	7279	6449	5193	3727	2626	2721	4735	3998	1672	1253	2010
ENSG00000005379	81	775	351	327	1241	188	590	360	256	317	401	772
ENSG00000005381	17	15	4	4	13	1	22	5	17	9	22	7
ENSG00000005421	0	10	1	7	0	6	4	15	4	9	1	10
ENSG00000005436	1432	1044	764	612	880	806	223	445	373	187	308	390
ENSG00000005448	315	460	710	397	255	301	303	187	328	106	222	358
ENSG00000005469	1538	1261	1056	387	535	904	398	1183	268	567	430	503
ENSG00000005471	49	217	49	45	49	36	47	76	12	69	13	38
ENSG00000005483	7090	7833	3555	4164	3284	3452	2162	4472	2523	1269	1520	1996
ENSG00000005486	4756	4610	4685	2293	2820	4472	1546	2750	1953	2215	1627	2213
ENSG00000005513	111	280	7	16	27	14	45	309	267	87	30	8
ENSG00000005700	5255	6592	2704	4673	2445	2657	967	3745	1937	1237	1327	1307
ENSG00000005801	3005	1976	1600	1387	1428	1613	494	681	621	582	613	926
ENSG00000005810	1626	5153	1665	7248	2353	1860	1173	2101	3769	911	1627	845
ENSG00000005812	2120	2859	1781	4018	1951	4118	2207	2476	2019	941	1808	1266
ENSG00000005844	281	4696	187	203	345	159	92	922	452	177	46	271
ENSG00000005882	1409	1144	2424	1030	686	1736	1008	1463	703	429	665	1025
ENSG00000005884	8959	10709	15174	12363	4944	3717	3927	7908	8350	1128	2924	1625
ENSG00000005889	1859	2474	1299	770	802	1073	847	702	1095	839	414	866
ENSG00000005893	9129	6804	7534	6081	4373	12664	5435	5114	4403	6877	2961	3590
ENSG00000005961	10	58	2495	12	8	13	2	7	7	3	6	8
ENSG00000005981	121	14	411	12	4	53	5	4	3	5	0	3
ENSG00000006007	2637	8229	4574	5593	3266	4471	1694	6859	3051	2251	2321	3556
ENSG00000006015	2019	1274	2781	1507	1535	2311	1292	1028	1222	941	1195	1987
ENSG00000006016	164	142	50	47	150	41	34	153	67	6	19	22
ENSG00000006025	3225	5574	3773	2460	1816	1224	304	1871	2487	398	881	594
ENSG00000006042	4535	4433	7238	1970	2129	6566	3136	4007	1780	1652	885	4706
ENSG00000006047	2578	1012	1590	1993	517	756	213	1459	554	1390	560	539
ENSG00000006059	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000006062	742	2160	1191	460	815	1636	215	1614	705	287	288	933
ENSG00000006071	1	61	3	4	5	5	2	74	1	0	2	11
ENSG00000006116	0	4	0	0	0	0	0	0	1	0	0	0
ENSG00000006118	1445	1363	720	910	976	984	486	311	1060	596	348	1329
ENSG00000006125	12786	16042	13908	19960	9773	12457	4814	13407	9803	5264	4198	8036
ENSG00000006128	0	106	48	0	43	129	31	63	1	1	15	164
ENSG00000006194	2433	1750	2379	1919	1909	1868	1019	1106	1937	924	933	1271
ENSG00000006210	2919	1559	1644	501	457	557	325	4397	286	498	76	309
ENSG00000006282	4132	3544	1998	1274	1633	2106	1872	3442	826	1280	466	2214
ENSG00000006283	6	9	2	1	1	21	0	24	3	1	3	1
ENSG00000006327	3346	2875	2963	2453	2091	9709	360	2578	1846	883	857	1348
ENSG00000006377	339	7	8	0	85	2	22	1	12	13	0	25
ENSG00000006432	1321	985	400	1004	504	592	187	449	575	224	200	434
ENSG00000006451	6602	5773	5243	4136	2837	6247	1612	3419	4182	2458	1944	2422
ENSG00000006453	6106	13151	5901	7630	3844	6698	1893	5764	3037	3662	2396	2539
ENSG00000006459	10627	6828	4369	3340	4154	3803	1927	3213	3052	1826	1289	1489
ENSG00000006468	216	351	67	1011	261	193	103	232	274	150	152	183
ENSG00000006530	2640	1817	2361	1019	1237	2181	631	849	1117	1044	634	971
ENSG00000006534	5480	2241	6301	3412	1227	1574	1099	783	1546	448	374	522
ENSG00000006555	2195	3345	1320	2159	680	1935	947	1938	705	391	638	882
ENSG00000006576	988	1628	989	589	770	1324	403	491	448	471	334	637
ENSG00000006606	66	111	38	22	13	36	5	5	8	3	5	31
ENSG00000006607	5233	5379	4149	3580	3086	2445	1123	3529	3184	1038	995	1781
ENSG00000006611	15895	9331	7700	10477	9651	10857	3287	6428	5434	3485	2920	3690
ENSG00000006625	4596	2270	6121	5132	2244	5894	479	1258	3041	1325	1018	1248
ENSG00000006634	1496	1220	1473	1158	677	2299	234	491	857	698	515	683
ENSG00000006638	113	199	286	47	107	50	30	143	42	25	25	48
ENSG00000006652	3410	2897	3281	2017	2078	2516	613	1157	2390	1007	1057	1040
ENSG00000006659	0	1	1	0	31	0	0	1	0	0	0	1
ENSG00000006695	1202	1406	889	1735	630	877	613	1532	522	561	463	644
ENSG00000006704	7627	1401	6110	4425	4647	5208	1501	735	4171	1767	2062	1728
ENSG00000006712	3019	3469	2253	3040	2281	2241	838	2351	1670	833	652	810
ENSG00000006715	2713	3886	3042	1900	1647	2554	1213	2067	1565	1359	1090	1552
ENSG00000006740	299	1616	59	1721	218	1378	650	6038	103	192	143	1160
ENSG00000006744	5189	3958	3852	4687	2361	2154	1812	2369	1771	1610	1103	1571
ENSG00000006747	2093	2554	4291	603	131	572	157	1675	113	657	156	292
ENSG00000006756	6993	5618	4180	2332	1647	6410	5219	4737	1819	4059	1465	5626
ENSG00000006757	1579	758	1538	271	269	2852	744	611	309	1151	287	2147
ENSG00000006788	1	15	8	1	1	4	1	1	6	3	0	3
ENSG00000006831	10734	9911	8279	112372	5810	4621	2163	5054	6259	3067	1827	2172
ENSG00000006837	25	21	96	31	33	42	11	8	26	9	11	27
ENSG00000007001	9	6	3	3	1	7	2	0	1	3	0	1
ENSG00000007038	8	9	67	2	2	6	2	1	3	5	3	712
ENSG00000007047	1327	1036	1403	1118	762	1127	599	904	408	301	370	477
ENSG00000007062	2500	7363	218	6738	4545	4386	11325	6226	4632	3149	2299	6251
ENSG00000007080	3768	2442	3440	3183	2246	3465	608	1981	2545	810	1234	1218
ENSG00000007129	21	136	15	19	33	30	10	32	30	21	8	33
ENSG00000007168	5548	9330	4177	5537	3116	4900	2722	5747	2860	2257	1536	1640
ENSG00000007171	283	658	449	7665	370	741	22	289	11555	2298	313	732
ENSG00000007174	4	27	1	32	9	8	8	12	1	20	7	5
ENSG00000007202	6771	10876	9573	11816	7854	6967	2077	6108	12137	2028	1838	3799
ENSG00000007216	208	497	416	48	70	2936	34	260	115	29	0	491
ENSG00000007237	534	2087	333	314	633	276	226	2498	196	116	193	343
ENSG00000007255	1938	723	3343	1130	1285	1698	728	1093	464	307	392	1494
ENSG00000007264	104	289	31	8	38	31	29	296	39	11	19	109
ENSG00000007306	2637	162772	3844	8145	545	15398	129	65882	2516	2731	718	2727
ENSG00000007312	23	1039	65	49	74	46	37	342	51	32	12	66
ENSG00000007314	4	30	15	5	6	3	10	14	0	2	0	3
ENSG00000007341	607	660	475	383	478	1059	132	280	265	224	291	404
ENSG00000007350	1	9	3	2	1	2	2850	2	2	0	23	6
ENSG00000007372	858	105	152	93	180	71	42	167	67	162	171	58
ENSG00000007376	2142	1073	3843	1584	1521	2445	761	1106	2220	1357	923	1089
ENSG00000007384	3097	3214	6016	2864	2371	2493	1195	783	1921	700	1011	1218
ENSG00000007392	2882	3173	3129	1406	3309	1184	915	926	2296	881	991	1109
ENSG00000007402	168	258	123	124	83	76	47	336	29	71	27	364
ENSG00000007516	1194	430	1100	82	181	113	459	417	37	37	82	80
ENSG00000007520	2904	1853	4402	1887	1382	2494	852	1588	1688	1260	888	1091
ENSG00000007541	2847	2845	5200	1796	1931	1907	713	1649	1964	986	855	1033
ENSG00000007545	1554	1250	977	954	1096	729	415	507	968	381	351	536
ENSG00000007866	2986	3233	2632	1695	2296	3082	1055	1910	1228	674	830	1048
ENSG00000007908	25	122	148	89	150	344	41	296	66	55	99	121
ENSG00000007923	2862	2689	2573	3140	1220	1160	368	3270	2287	848	1008	558
