TCGA.A6.A565	TCGA.A6.2671	TCGA.AA.A02K	TCGA.AZ.4682	TCGA.AA.3973	TCGA.A6.5664	TCGA.A6.A566	TCGA.AZ.6600	TCGA.AA.3680	TCGA.NH.A6GB	TCGA.AA.3844	TCGA.AA.3972	TCGA.CM.4748	TCGA.AA.3692
ENSG00000000003	4049	2621	11127	13552	8577	3670	2293	4641	2901	4735	4929	2943	374	8903
ENSG00000000005	16	11	342	327	16	9	10	25	24	7	8	9	0	7
ENSG00000000419	1579	1341	2534	6102	1207	1244	1282	1109	557	3406	1089	2020	55	1503
ENSG00000000457	1097	213	1181	948	523	905	624	493	454	309	319	332	20	566
ENSG00000000460	498	331	706	990	245	477	267	174	175	367	252	363	10	389
ENSG00000000938	899	223	310	115	54	678	979	248	70	364	83	96	4	235
ENSG00000000971	2343	809	239	596	166	2680	3950	2653	384	460	223	332	10	443
ENSG00000001036	4550	1353	5458	9119	1992	5063	3787	3156	1685	4644	2466	2200	167	2286
ENSG00000001084	2560	1221	2672	3871	1010	1929	1256	1436	1175	2107	991	1256	67	1923
ENSG00000001167	2016	1208	1829	1892	776	1419	997	1106	574	1176	442	562	72	791
ENSG00000001460	952	251	930	305	81	501	377	571	173	299	222	126	13	177
ENSG00000001461	2236	1467	1505	1112	603	2462	1356	1978	917	1579	1019	794	72	691
ENSG00000001497	2066	2461	3198	4036	1789	1891	1213	1423	695	2934	1561	860	73	1454
ENSG00000001561	2184	382	1328	2368	810	1275	527	1428	779	476	1021	919	19	809
ENSG00000001617	2709	1139	845	687	898	2066	2803	801	696	432	737	1419	68	1179
ENSG00000001626	5376	6160	20892	19406	9918	13644	7666	11013	5357	9145	9699	6395	294	7928
ENSG00000001629	3722	940	2761	2686	1218	2183	2246	1739	1438	2018	1248	930	42	1333
ENSG00000001630	453	798	499	535	175	376	246	433	160	626	149	100	31	232
ENSG00000001631	2344	525	1882	1573	689	1161	1238	867	806	1259	656	703	47	968
ENSG00000002016	592	198	878	253	220	325	440	308	226	457	185	133	7	274
ENSG00000002079	20	4	26	33	2	15	4	1	16	8	10	1	6	0
ENSG00000002330	1349	333	1822	2029	645	1170	965	1786	559	731	680	484	47	903
ENSG00000002549	5703	2536	3901	4363	1229	4887	4341	4788	1596	3254	2775	1309	176	2394
ENSG00000002586	6359	4557	10878	13563	3832	14506	9340	10210	3568	2689	2788	3678	254	8584
ENSG00000002587	1231	164	222	1013	266	924	292	472	453	377	319	238	43	743
ENSG00000002726	32666	3678	6915	18314	7397	6487	6365	24894	15587	4240	4836	4755	317	7878
ENSG00000002745	11	1	32	6	0	10	0	9	5	22	3	3	1	2
ENSG00000002746	70	23	20	33	8	178	123	14	7	26	6	14	14	8
ENSG00000002822	1595	1717	1987	1377	268	1136	989	926	439	1361	434	318	73	450
ENSG00000002834	24585	11495	53839	16205	5527	18077	13160	17250	6506	20393	5384	6143	522	8582
ENSG00000002919	1732	568	864	1476	585	934	758	913	549	1288	551	572	58	1148
ENSG00000002933	13781	7393	27664	18426	11082	6046	1653	7060	5115	1066	12764	7908	629	17191
ENSG00000003056	4186	2218	4970	3731	2277	4978	3610	2580	1985	2707	2545	1425	100	2485
ENSG00000003096	174	624	9	60	2572	149	31	267	171	6	34	22	30	43
ENSG00000003137	108	86	24	38	14	124	199	314	18	35	26	91	11	29
ENSG00000003147	4446	1571	554	2770	2207	2376	1944	1572	2370	2335	963	1425	125	2394
ENSG00000003249	955	810	3442	227	658	757	24	77	388	36	263	612	37	304
ENSG00000003393	1302	445	1013	756	398	1085	775	419	420	1439	304	551	23	611
ENSG00000003400	3844	459	1291	1904	400	2219	861	2705	774	2475	1091	842	44	1029
ENSG00000003402	11800	2040	5941	3063	1147	5288	4090	4372	1393	3231	1817	1777	106	2202
ENSG00000003436	1349	191	229	1676	116	1674	1573	1624	406	463	222	390	27	506
ENSG00000003509	805	358	1052	926	263	357	421	331	179	534	285	386	25	422
ENSG00000003756	7824	1814	3447	2335	1714	2793	2751	2842	1099	2735	1175	1687	77	1943
ENSG00000003987	72	10	12	17	21	19	47	59	12	36	11	20	3	60
ENSG00000003989	370	50	45	52	45	2031	513	749	21	28	96	11	17	389
ENSG00000004059	6697	5171	12967	12916	2888	4934	4478	5249	2272	4130	4370	2530	309	5575
ENSG00000004139	506	131	758	304	147	425	389	288	191	465	80	93	11	222
ENSG00000004142	5196	4246	12842	8089	2659	5229	3843	4748	2060	6446	3188	1846	172	4401
ENSG00000004399	9198	2341	1874	1048	689	8143	12611	2049	876	1466	592	630	137	1078
ENSG00000004455	6363	3742	9358	16664	1227	6673	4338	5479	1857	5186	4027	2939	180	4594
ENSG00000004468	1011	51	50	76	26	214	75	797	105	154	52	22	9	130
ENSG00000004478	6058	6706	23070	9475	2482	5915	5847	5970	4507	9277	6423	3320	286	9824
ENSG00000004487	4736	5993	6195	3568	1535	6216	3499	2848	2332	4885	2497	2065	164	2670
ENSG00000004534	8712	1524	4657	2285	1417	2788	3707	2331	910	4088	987	1108	64	1076
ENSG00000004660	1013	519	1729	1426	316	758	495	449	204	690	202	180	24	276
ENSG00000004700	1487	496	671	585	337	1405	1198	526	444	894	399	378	15	439
ENSG00000004766	1720	415	1463	1759	497	699	870	805	835	849	576	620	18	855
ENSG00000004776	389	908	34	310	198	2457	164	2116	68	15	13	76	21	89
ENSG00000004777	411	407	885	430	249	281	256	235	67	109	239	184	9	266
ENSG00000004779	2936	1959	7172	6717	1326	2140	2204	3046	909	2916	3407	1992	152	3394
ENSG00000004799	3498	255	950	889	363	1066	451	3909	647	176	338	277	10	614
ENSG00000004809	9	2	2	2	3	18	44	1	1	0	1	0	1	2
ENSG00000004838	102	31	43	20	3	38	24	11	10	8	15	18	18	13
ENSG00000004846	20	2	5	0	1	84	2	65	5	0	2	1	2	2
ENSG00000004848	25	0	0	5	2	5	5	18	61	0	0	1	4	2
ENSG00000004864	2361	956	2660	2280	956	2052	2075	1916	1034	2003	1315	944	63	1218
ENSG00000004866	1472	457	1082	2126	686	1248	1040	633	549	961	904	699	57	1025
ENSG00000004897	3154	625	3106	2265	755	2924	2290	1571	995	2422	1114	1209	51	1395
ENSG00000004939	46	1	0	8	2	4	7	14	2	1	1	0	13	1
ENSG00000004948	4	0	0	2	9	4	22	4	6	0	0	0	1	4
ENSG00000004961	1769	917	2462	3364	1390	1105	721	1292	612	874	2241	692	77	952
ENSG00000004975	1594	1692	1531	838	1140	1352	1164	969	597	663	682	382	64	812
ENSG00000005001	2171	273	155	1453	393	738	649	93	329	5836	434	695	24	597
ENSG00000005007	9541	6170	9417	5713	2917	7908	4610	8647	3229	6543	2687	2917	304	3315
ENSG00000005020	4305	1021	1587	1930	633	1783	1695	3202	1985	1122	997	1176	67	1520
ENSG00000005022	26536	14004	22227	76205	18899	22782	13482	28600	8002	23250	58109	16430	1595	22109
ENSG00000005059	1349	500	589	781	533	681	637	445	119	394	345	271	26	258
ENSG00000005073	515	828	961	155	327	477	411	150	237	202	507	281	27	661
ENSG00000005075	1810	1229	2960	4862	720	1189	1216	1143	669	1486	1032	838	99	1360
ENSG00000005100	1767	974	1271	1165	802	2080	1235	915	492	1076	616	441	54	690
ENSG00000005102	257	96	22	28	34	352	315	487	40	42	28	57	10	34
ENSG00000005108	294	38	38	41	22	257	357	152	24	23	13	12	12	7
ENSG00000005156	2320	1072	2373	1535	732	1632	953	1025	727	1973	592	438	36	1362
ENSG00000005175	1406	413	1965	1714	470	1786	1398	758	607	1206	1094	510	38	820
ENSG00000005187	414	78	2216	942	94	1257	490	668	526	94	330	74	18	1158
ENSG00000005189	282	131	791	319	94	189	283	115	109	200	179	101	7	168
ENSG00000005194	2419	1450	4977	3466	1088	2332	1602	2199	845	2486	2297	1354	136	2329
ENSG00000005206	5799	3228	10146	2412	1512	2609	2808	3384	2034	3982	1547	1531	131	2593
ENSG00000005238	3282	417	920	1007	229	981	1238	2026	220	716	383	314	35	292
ENSG00000005243	393	236	142	152	157	666	860	229	38	103	72	70	16	108
ENSG00000005249	799	167	65	179	40	334	233	1026	105	149	92	84	9	131
ENSG00000005302	2724	643	2157	2482	897	1011	1123	708	769	773	980	600	50	1022
ENSG00000005339	7279	5084	6449	2626	2721	5961	2568	4735	2019	3998	1672	1253	128	2010
ENSG00000005379	775	535	351	188	590	248	262	360	154	256	317	401	38	772
ENSG00000005381	15	26	4	1	22	8	11	5	3	17	9	22	8	7
ENSG00000005421	10	3	1	6	4	24	0	15	3	4	9	1	5	10
ENSG00000005436	1044	125	764	806	223	777	596	445	290	373	187	308	8	390
ENSG00000005448	460	710	710	301	303	750	332	187	127	328	106	222	19	358
ENSG00000005469	1261	159	1056	904	398	496	641	1183	542	268	567	430	15	503
ENSG00000005471	217	21	49	36	47	138	111	76	53	12	69	13	1	38
ENSG00000005483	7833	2646	3555	3452	2162	4556	2614	4472	1618	2523	1269	1520	96	1996
ENSG00000005486	4610	2550	4685	4472	1546	3376	2793	2750	1434	1953	2215	1627	171	2213
ENSG00000005513	280	17	7	14	45	180	20	309	27	267	87	30	29	8
ENSG00000005700	6592	752	2704	2657	967	4382	3454	3745	1584	1937	1237	1327	47	1307
ENSG00000005801	1976	774	1600	1613	494	1078	973	681	604	621	582	613	39	926
ENSG00000005810	5153	1882	1665	1860	1173	2929	1994	2101	850	3769	911	1627	60	845
ENSG00000005812	2859	1004	1781	4118	2207	1509	1490	2476	798	2019	941	1808	53	1266
ENSG00000005844	4696	214	187	159	92	825	1206	922	239	452	177	46	24	271
ENSG00000005882	1144	1030	2424	1736	1008	850	641	1463	468	703	429	665	26	1025
ENSG00000005884	10709	3530	15174	3717	3927	7225	3833	7908	2671	8350	1128	2924	177	1625
ENSG00000005889	2474	467	1299	1073	847	905	1145	702	774	1095	839	414	53	866
ENSG00000005893	6804	2371	7534	12664	5435	5543	5899	5114	2631	4403	6877	2961	274	3590
ENSG00000005961	58	6	2495	13	2	23	74	7	4	7	3	6	13	8
ENSG00000005981	14	0	411	53	5	34	7	4	7	3	5	0	0	3
ENSG00000006007	8229	2724	4574	4471	1694	6136	3223	6859	3026	3051	2251	2321	200	3556
ENSG00000006015	1274	1783	2781	2311	1292	724	822	1028	925	1222	941	1195	144	1987
ENSG00000006016	142	92	50	41	34	113	56	153	15	67	6	19	6	22
ENSG00000006025	5574	487	3773	1224	304	648	1526	1871	771	2487	398	881	31	594
ENSG00000006042	4433	2857	7238	6566	3136	3820	2351	4007	2252	1780	1652	885	103	4706
ENSG00000006047	1012	1250	1590	756	213	631	1077	1459	298	554	1390	560	51	539
ENSG00000006059	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000006062	2160	826	1191	1636	215	1186	571	1614	249	705	287	288	26	933
ENSG00000006071	61	2	3	5	2	26	3	74	17	1	0	2	15	11
ENSG00000006116	4	0	0	0	0	0	0	0	0	1	0	0	3	0
ENSG00000006118	1363	1461	720	984	486	3107	2260	311	357	1060	596	348	56	1329
ENSG00000006125	16042	8579	13908	12457	4814	17744	12457	13407	6238	9803	5264	4198	336	8036
ENSG00000006128	106	13	48	129	31	257	0	63	13	1	1	15	28	164
ENSG00000006194	1750	1427	2379	1868	1019	1209	1007	1106	589	1937	924	933	56	1271
ENSG00000006210	1559	314	1644	557	325	3517	1517	4397	704	286	498	76	21	309
ENSG00000006282	3544	1046	1998	2106	1872	4261	2949	3442	2627	826	1280	466	40	2214
ENSG00000006283	9	9	2	21	0	28	10	24	3	3	1	3	14	1
ENSG00000006327	2875	2125	2963	9709	360	2926	2293	2578	503	1846	883	857	133	1348
ENSG00000006377	7	1	8	2	22	87	3	1	79	12	13	0	2	25
ENSG00000006432	985	264	400	592	187	1105	539	449	381	575	224	200	15	434
ENSG00000006451	5773	2918	5243	6247	1612	3174	3875	3419	2318	4182	2458	1944	172	2422
ENSG00000006453	13151	3039	5901	6698	1893	4062	2591	5764	2765	3037	3662	2396	261	2539
ENSG00000006459	6828	967	4369	3803	1927	3126	2189	3213	2284	3052	1826	1289	48	1489
ENSG00000006468	351	98	67	193	103	425	1102	232	509	274	150	152	12	183
ENSG00000006530	1817	578	2361	2181	631	1440	844	849	714	1117	1044	634	48	971
ENSG00000006534	2241	618	6301	1574	1099	1254	1396	783	895	1546	448	374	61	522
ENSG00000006555	3345	1273	1320	1935	947	694	439	1938	797	705	391	638	48	882
ENSG00000006576	1628	254	989	1324	403	1154	1565	491	349	448	471	334	33	637
ENSG00000006606	111	8	38	36	5	25	23	5	4	8	3	5	3	31
ENSG00000006607	5379	1319	4149	2445	1123	3819	1680	3529	1470	3184	1038	995	95	1781
ENSG00000006611	9331	7700	7700	10857	3287	8885	3075	6428	3422	5434	3485	2920	232	3690
ENSG00000006625	2270	1098	6121	5894	479	2366	2566	1258	858	3041	1325	1018	108	1248
ENSG00000006634	1220	294	1473	2299	234	688	778	491	417	857	698	515	35	683
ENSG00000006638	199	59	286	50	30	107	311	143	30	42	25	25	7	48
ENSG00000006652	2897	1043	3281	2516	613	1660	1731	1157	601	2390	1007	1057	25	1040
ENSG00000006659	1	0	1	0	0	0	0	1	0	0	0	0	2	1
ENSG00000006695	1406	807	889	877	613	1508	739	1532	513	522	561	463	24	644
ENSG00000006704	1401	3790	6110	5208	1501	2671	1680	735	1250	4171	1767	2062	114	1728
ENSG00000006712	3469	2576	2253	2241	838	2983	1902	2351	708	1670	833	652	95	810
ENSG00000006715	3886	1752	3042	2554	1213	1897	2269	2067	1459	1565	1359	1090	100	1552
ENSG00000006740	1616	482	59	1378	650	1115	928	6038	386	103	192	143	28	1160
ENSG00000006744	3958	2949	3852	2154	1812	3734	2822	2369	1598	1771	1610	1103	112	1571
ENSG00000006747	2554	30	4291	572	157	431	575	1675	454	113	657	156	22	292
ENSG00000006756	5618	986	4180	6410	5219	2222	3411	4737	5725	1819	4059	1465	164	5626
ENSG00000006757	758	480	1538	2852	744	524	603	611	688	309	1151	287	93	2147
ENSG00000006788	15	2	8	4	1	0	2	1	3	6	3	0	11	3
ENSG00000006831	9911	1884	8279	4621	2163	6501	4401	5054	2492	6259	3067	1827	135	2172
ENSG00000006837	21	9	96	42	11	16	16	8	6	26	9	11	5	27
ENSG00000007001	6	2	3	7	2	2	0	0	1	1	3	0	0	1
ENSG00000007038	9	694	67	6	2	2	9	1	8	3	5	3	6	712
ENSG00000007047	1036	1056	1403	1127	599	1206	854	904	328	408	301	370	48	477
ENSG00000007062	7363	58	218	4386	11325	13512	14	6226	3806	4632	3149	2299	281	6251
ENSG00000007080	2442	4095	3440	3465	608	2376	1830	1981	657	2545	810	1234	157	1218
ENSG00000007129	136	30	15	30	10	18	48	32	12	30	21	8	1	33
ENSG00000007168	9330	3310	4177	4900	2722	6116	4686	5747	1407	2860	2257	1536	103	1640
ENSG00000007171	658	192	449	741	22	13782	416	289	1507	11555	2298	313	66	732
ENSG00000007174	27	23	1	8	8	68	8	12	6	1	20	7	25	5
ENSG00000007202	10876	4614	9573	6967	2077	8509	5722	6108	2953	12137	2028	1838	190	3799
ENSG00000007216	497	22	416	2936	34	1616	892	260	21	115	29	0	26	491
ENSG00000007237	2087	726	333	276	226	2492	1514	2498	166	196	116	193	41	343
ENSG00000007255	723	1106	3343	1698	728	1062	569	1093	558	464	307	392	46	1494
ENSG00000007264	289	83	31	31	29	113	429	296	44	39	11	19	13	109
ENSG00000007306	162772	64	3844	15398	129	745	2002	65882	738	2516	2731	718	150	2727
ENSG00000007312	1039	42	65	46	37	270	227	342	98	51	32	12	8	66
ENSG00000007314	30	38	15	3	10	10	2	14	4	0	2	0	7	3
ENSG00000007341	660	125	475	1059	132	373	306	280	257	265	224	291	6	404
ENSG00000007350	9	0	3	2	2850	8	3	2	57	2	0	23	10	6
ENSG00000007372	105	62	152	71	42	82	287	167	21	67	162	171	5	58
ENSG00000007376	1073	2035	3843	2445	761	980	723	1106	438	2220	1357	923	114	1089
ENSG00000007384	3214	2965	6016	2493	1195	1519	1491	783	924	1921	700	1011	57	1218
ENSG00000007392	3173	1049	3129	1184	915	1247	1608	926	554	2296	881	991	60	1109
ENSG00000007402	258	151	123	76	47	1503	32	336	1052	29	71	27	28	364
ENSG00000007516	430	151	1100	113	459	178	77	417	107	37	37	82	29	80
ENSG00000007520	1853	2058	4402	2494	852	1532	1411	1588	683	1688	1260	888	85	1091
ENSG00000007541	2845	1887	5200	1907	713	1795	1398	1649	878	1964	986	855	77	1033
ENSG00000007545	1250	536	977	729	415	741	586	507	309	968	381	351	22	536
ENSG00000007866	3233	1692	2632	3082	1055	2094	1632	1910	641	1228	674	830	69	1048
ENSG00000007908	122	126	148	344	41	1005	685	296	19	66	55	99	10	121
ENSG00000007923	2689	2007	2573	1160	368	2095	1624	3270	682	2287	848	1008	54	558
ENSG00000007933	39	13	9	74	9	101	227	32	31	16	16	6	8	46
ENSG00000007944	1408	691	1737	1706	719	1197	650	1024	1377	495	903	633	44	1207
ENSG00000007952	2944	4204	11791	9180	19880	9052	11228	6108	7180	427	11974	2785	614	14198
ENSG00000007968	970	576	1855	512	48	971	624	1216	159	581	445	250	37	305
ENSG00000008018	8160	5918	9892	15400	3442	6522	5688	4739	2995	6005	5440	4527	324	6089
ENSG00000008056	76	144	163	177	339	219	68	113	11	54	13	43	2	84
ENSG00000008083	1680	789	1511	1058	514	1895	803	1287	698	975	542	306	32	571
ENSG00000008086	589	116	161	332	228	474	972	404	117	119	103	104	10	183
ENSG00000008118	25	8	6	8	5	17	86	17	0	9	15	1	0	12
ENSG00000008128	1096	102	633	482	111	371	476	539	138	306	142	206	12	221
ENSG00000008130	6148	3417	7004	5791	814	4031	2810	4046	1699	3950	1355	2269	110	2423
ENSG00000008196	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	285	19	83	38	126	52	27	98	27	23	23	39	20	35
ENSG00000008256	1283	1046	1433	1058	718	948	1790	1017	565	1122	342	383	42	624
ENSG00000008277	333	98	22	65	82	192	302	428	165	183	26	49	6	111
ENSG00000008282	8875	2098	9225	15446	3083	5562	5339	5151	3588	6300	4415	4609	262	5750
