TCGA.50.5066	TCGA.55.6712	TCGA.55.6979	TCGA.50.5072	TCGA.50.5055	TCGA.NJ.A7XG	TCGA.55.8615	TCGA.73.A9RS	TCGA.55.7914	TCGA.53.7813	TCGA.53.7624	TCGA.50.6595	TCGA.J2.8194	TCGA.55.7227	TCGA.69.7974	TCGA.93.A4JN	TCGA.95.A4VP
ENSG00000000003	8758	1863	516	2769	2082	5157	2266	584	2950	1957	2028	1331	6064	2273	3187	3879	3653
ENSG00000000005	6	1	0	1	5	0	0	1	0	0	1	0	0	18	47	0	0
ENSG00000000419	4397	818	589	1166	1008	1439	645	1440	1452	963	1424	1402	1474	935	2281	2382	960
ENSG00000000457	2118	472	361	1287	461	1016	648	544	1035	717	1078	345	1669	611	1108	1467	652
ENSG00000000460	1517	215	88	1000	142	295	252	318	287	249	929	358	268	214	637	1282	408
ENSG00000000938	1169	540	3095	692	770	157	619	250	345	176	328	387	1067	1119	2675	939	1151
ENSG00000000971	9080	9445	1655	2844	4487	10604	1484	15295	1400	1644	951	6243	5887	2414	3162	6487	2613
ENSG00000001036	8783	2166	1593	8741	2347	1218	2567	2704	2141	1249	5975	4693	3002	2451	4446	2775	2721
ENSG00000001084	52629	2600	832	22363	983	143	2328	759	272	533	18580	810	15278	547	2565	2787	748
ENSG00000001167	5208	1209	760	2094	1051	1769	2502	742	4159	1280	1747	1867	3837	1731	2605	2999	1118
ENSG00000001460	2424	639	195	1021	356	458	364	275	373	143	758	309	906	285	702	1333	321
ENSG00000001461	5437	3865	1486	1537	1001	3152	979	895	3420	893	1528	1674	3449	2796	2098	3278	1039
ENSG00000001497	7041	1259	727	1816	1014	3061	1459	1622	2185	969	2343	1991	2890	1713	3302	1768	2461
ENSG00000001561	6058	1286	1278	1131	1238	2286	1002	627	2243	1138	1465	316	5761	1711	2369	2416	639
ENSG00000001617	2600	506	544	1293	836	1082	2174	697	1009	179	966	3500	3755	895	3173	4052	4429
ENSG00000001626	2207	27	1465	852	686	3529	305	399	280	661	102	49	2209	428	1595	446	806
ENSG00000001629	7589	2602	1063	1977	1147	2141	2426	1446	3028	1935	2764	3374	4045	2108	8228	3485	1356
ENSG00000001630	2040	177	204	351	48	235	235	243	233	44	151	161	396	141	585	195	69
ENSG00000001631	4716	1226	577	1425	578	1282	1132	983	1350	876	1117	735	1836	1202	2202	1767	860
ENSG00000002016	1650	291	146	508	117	477	773	312	286	312	649	160	388	201	408	633	863
ENSG00000002079	113	218	6	84	3	15	8	14	14	3	12	446	15	12	113	40	40
ENSG00000002330	2364	1153	765	856	1320	2787	1851	1509	1711	343	2225	996	1974	1177	3833	1807	2838
ENSG00000002549	11962	5341	5229	5817	5343	3386	1396	2867	7321	3500	12768	10668	7212	5374	11941	6018	3542
ENSG00000002586	7329	5329	3548	25579	7155	5219	22209	1442	2287	3178	7795	8000	4692	5414	15703	9369	8108
ENSG00000002587	2195	1240	74	235	1127	5802	521	71	375	251	294	1108	1304	1424	1642	745	1577
ENSG00000002726	77	57	38	2598	1148	6686	7517	7	23	729	12689	60	1652	211	97	140	2760
