TCGA.50.5066	TCGA.55.6712	TCGA.50.5068	TCGA.55.6979	TCGA.50.5072	TCGA.50.5055	TCGA.55.8615	TCGA.73.A9RS	TCGA.50.5936	TCGA.53.7813	TCGA.95.A4VP
ENSG00000000003	8758	1863	2904	516	2769	2082	2266	584	725	1957	3653
ENSG00000000005	6	1	2	0	1	5	0	1	0	0	0
ENSG00000000419	4397	818	3182	589	1166	1008	645	1440	769	963	960
ENSG00000000457	2118	472	851	361	1287	461	648	544	552	717	652
ENSG00000000460	1517	215	278	88	1000	142	252	318	80	249	408
ENSG00000000938	1169	540	533	3095	692	770	619	250	3599	176	1151
ENSG00000000971	9080	9445	3849	1655	2844	4487	1484	15295	1881	1644	2613
ENSG00000001036	8783	2166	1597	1593	8741	2347	2567	2704	1897	1249	2721
ENSG00000001084	52629	2600	1264	832	22363	983	2328	759	845	533	748
ENSG00000001167	5208	1209	734	760	2094	1051	2502	742	975	1280	1118
ENSG00000001460	2424	639	247	195	1021	356	364	275	447	143	321
ENSG00000001461	5437	3865	400	1486	1537	1001	979	895	2664	893	1039
ENSG00000001497	7041	1259	775	727	1816	1014	1459	1622	1058	969	2461
ENSG00000001561	6058	1286	1741	1278	1131	1238	1002	627	2988	1138	639
ENSG00000001617	2600	506	329	544	1293	836	2174	697	1527	179	4429
ENSG00000001626	2207	27	2048	1465	852	686	305	399	2330	661	806
ENSG00000001629	7589	2602	2439	1063	1977	1147	2426	1446	1965	1935	1356
ENSG00000001630	2040	177	106	204	351	48	235	243	552	44	69
ENSG00000001631	4716	1226	766	577	1425	578	1132	983	984	876	860
ENSG00000002016	1650	291	277	146	508	117	773	312	230	312	863
ENSG00000002079	113	218	1	6	84	3	8	14	2	3	40
ENSG00000002330	2364	1153	2514	765	856	1320	1851	1509	1029	343	2838
ENSG00000002549	11962	5341	6615	5229	5817	5343	1396	2867	4052	3500	3542
ENSG00000002586	7329	5329	3408	3548	25579	7155	22209	1442	5587	3178	8108
ENSG00000002587	2195	1240	780	74	235	1127	521	71	205	251	1577
ENSG00000002726	77	57	17	38	2598	1148	7517	7	35	729	2760
ENSG00000002745	48	1	8	0	29	17	76	2	1	18	931
ENSG00000002746	109	35	24	18	211	47	43	12	14	7	7
ENSG00000002822	6844	2041	296	748	1614	1299	2130	1023	991	189	1475
ENSG00000002834	73159	18330	1762	6638	16013	7162	9466	6805	11214	7474	9364
ENSG00000002919	1905	831	2639	564	1253	1269	809	358	804	510	1233
ENSG00000002933	2669	1476	1956	1326	1836	3918	14062	397	1058	2630	5010
ENSG00000003056	7562	3309	1371	2688	5927	3748	3203	1400	3370	1135	1471
ENSG00000003096	245	23	266	42	82	103	37	9	47	78	52
ENSG00000003137	253	243	28	92	448	120	60	30	390	29	208
ENSG00000003147	10581	1074	956	613	3516	1206	4946	3386	836	1817	2487
ENSG00000003249	3100	298	487	163	2966	494	1484	1848	224	997	2459
ENSG00000003393	4490	655	614	678	1539	400	1542	803	1143	902	1164
ENSG00000003400	2685	848	1129	960	989	979	749	792	1531	874	1966
ENSG00000003402	20185	11794	3642	7685	6245	3389	3806	2747	10930	2867	7023
ENSG00000003436	2602	3031	12641	3025	18285	6855	6219	6076	9320	6397	8178
ENSG00000003509	1866	184	805	223	638	328	629	463	284	414	611
ENSG00000003756	9482	1646	1599	2076	2223	1433	3541	1831	2049	2031	5883
ENSG00000003987	349	46	24	48	131	30	7451	65	61	1256	5058
ENSG00000003989	5211	217	222	631	7942	507	25759	10451	2808	9427	19451
ENSG00000004059	8893	3933	7350	2181	4438	4352	5496	2370	2559	1856	6033
ENSG00000004139	1271	85	84	190	158	160	626	62	305	220	187
ENSG00000004142	12170	2033	1973	1665	8707	2868	6756	2246	2426	2089	3561
ENSG00000004399	21299	2466	1041	5393	4703	3736	5808	844	11133	4816	7626
ENSG00000004455	21138	4115	9132	2075	6823	3328	4345	2465	3061	6686	8743
ENSG00000004468	5977	723	355	1527	723	916	90	128	267	1047	948
ENSG00000004478	24077	3543	1240	988	20059	1688	6775	8057	1561	1523	3992
ENSG00000004487	12311	3762	1393	1288	6315	1697	3128	2493	1826	3293	3374
ENSG00000004534	8695	1743	628	1737	2051	1149	4478	1315	2184	5070	7079
ENSG00000004660	1772	161	135	301	541	240	1342	76	493	180	480
ENSG00000004700	2500	1077	513	575	2060	657	647	575	889	253	458
ENSG00000004766	3338	656	815	506	886	425	769	756	765	392	540
ENSG00000004776	4060	84	70	362	556	255	178	33	975	42	976
ENSG00000004777	2058	112	65	83	295	92	609	760	133	169	918
ENSG00000004779	3373	1081	3668	733	2897	1534	1404	1383	799	1033	2139
ENSG00000004799	7205	1142	462	5452	5007	915	3528	1732	8186	660	2588
ENSG00000004809	29	30	31	3	61	9	2	3	3	0	3
ENSG00000004838	3122	150	477	210	73	826	50	1617	212	10	75
ENSG00000004846	10	2	1	5	7	0	10	0	1	0	5
ENSG00000004848	14	30	32	12	107	90	264	841	10	9	266
ENSG00000004864	6360	970	368	383	2511	642	1201	535	656	633	702
ENSG00000004866	3703	1377	1260	1533	1602	882	1769	1427	2202	992	1473
ENSG00000004897	6628	2779	1458	1156	4264	1475	1178	1257	2067	1374	1313
ENSG00000004939	4	0	0	14	1	0	1	1	51	0	4
ENSG00000004948	17	1	13	3	14	11	77	3	4	0	27
ENSG00000004961	1375	598	1163	393	1092	744	1148	499	629	460	745
ENSG00000004975	4850	725	563	618	2596	752	2365	883	1141	393	1304
ENSG00000005001	2213	1279	666	244	2682	1495	233	1105	309	149	328
ENSG00000005007	14656	4251	937	2732	5787	2248	8601	3974	3449	902	6011
ENSG00000005020	7229	4187	2548	1498	5451	2703	1209	1509	2622	418	1151
ENSG00000005022	24410	7811	16634	6030	11420	8062	9025	5527	7610	6653	8887
ENSG00000005059	1294	1024	2975	481	687	1085	427	244	308	182	508
ENSG00000005073	11	0	0	0	300	1	0	1	0	1	1
ENSG00000005075	2222	566	2035	486	1457	1105	1647	1423	600	564	2064
ENSG00000005100	4396	434	228	385	1671	408	1437	455	555	678	949
ENSG00000005102	16	17	50	38	22	209	3	4	13	10	48
