TCGA.86.7954	TCGA.55.5899	TCGA.97.8547	TCGA.50.6590	TCGA.55.7281	TCGA.49.AAR4	TCGA.55.8301	TCGA.86.8054	TCGA.55.7994	TCGA.50.5933	TCGA.50.5051	TCGA.55.7995	TCGA.55.1596	TCGA.49.AAR2
ENSG00000000003	9111	1147	1488	549	3616	1888	2130	8706	3848	3507	2658	4595	6093	2625
ENSG00000000005	3	0	126	0	1	1	2	0	19	17	1	0	0	0
ENSG00000000419	3534	1400	509	1180	1170	858	1618	3613	1633	1530	606	2337	2130	592
ENSG00000000457	1917	389	370	362	426	628	1403	1193	1305	534	548	1456	780	465
ENSG00000000460	1189	375	147	434	222	368	671	1621	818	465	203	896	737	214
ENSG00000000938	1758	512	511	1066	1893	1325	2034	548	2437	1357	285	3091	367	577
ENSG00000000971	27739	3795	2794	2134	1307	2642	12205	2587	6490	4205	720	11228	6183	1001
ENSG00000001036	6331	6256	1969	3305	2045	3661	5255	2579	4171	2672	2031	8979	8754	9348
ENSG00000001084	6020	28736	1936	2430	1576	1308	2010	1985	14968	43049	1609	15093	3367	8903
ENSG00000001167	7493	1278	845	1453	1674	1054	2539	5348	7140	2908	630	3258	1478	729
ENSG00000001460	1211	389	374	200	890	528	394	767	836	313	251	555	609	570
ENSG00000001461	4100	919	1289	1204	2498	1270	2158	1855	4151	1588	941	3646	1152	1573
ENSG00000001497	4240	2348	1512	2542	3439	1562	3382	4399	3630	1266	2067	4475	1790	1904
ENSG00000001561	2811	2481	1114	354	1586	906	1310	3825	6057	979	885	3375	2187	587
ENSG00000001617	2106	5645	772	965	1105	949	3117	2867	1514	1149	1910	1674	1836	4864
ENSG00000001626	2256	0	9	3	1977	718	8	725	31	8	290	6348	441	4517
ENSG00000001629	6909	2574	1589	4156	2516	2451	4263	7567	11089	5436	1782	7454	3387	1346
ENSG00000001630	299	375	166	373	100	118	230	485	930	242	76	635	486	78
ENSG00000001631	3596	1404	927	1572	820	1396	1892	3031	4511	1111	812	3152	1251	1865
ENSG00000002016	815	257	231	345	128	402	477	900	729	147	189	1408	498	507
ENSG00000002079	14	20	45	413	65	61	16	6	270	88	10	45	58	61
ENSG00000002330	3325	1372	1652	1860	2341	1769	1297	1161	1886	808	1752	3163	1054	2807
ENSG00000002549	22058	5124	1549	8887	4285	3642	22282	7483	13196	6629	1289	9913	9381	2887
