TCGA.95.A4VK	TCGA.50.5055	TCGA.NJ.A7XG	TCGA.55.8615	TCGA.73.A9RS	TCGA.55.7914	TCGA.53.7624	TCGA.55.7281	TCGA.55.A48Z	TCGA.69.7974	TCGA.69.A59K
ENSG00000000003	2269	2082	5157	2266	584	2950	2028	3616	6871	3187	1343
ENSG00000000005	1	5	0	0	1	0	1	1	0	47	0
ENSG00000000419	819	1008	1439	645	1440	1452	1424	1170	1616	2281	2233
ENSG00000000457	1477	461	1016	648	544	1035	1078	426	1213	1108	1285
ENSG00000000460	327	142	295	252	318	287	929	222	508	637	701
ENSG00000000938	603	770	157	619	250	345	328	1893	854	2675	1694
ENSG00000000971	1123	4487	10604	1484	15295	1400	951	1307	3622	3162	2147
ENSG00000001036	2839	2347	1218	2567	2704	2141	5975	2045	3445	4446	2940
ENSG00000001084	1833	983	143	2328	759	272	18580	1576	2235	2565	14140
ENSG00000001167	1798	1051	1769	2502	742	4159	1747	1674	1938	2605	2434
ENSG00000001460	811	356	458	364	275	373	758	890	408	702	925
ENSG00000001461	2754	1001	3152	979	895	3420	1528	2498	1292	2098	5226
ENSG00000001497	1835	1014	3061	1459	1622	2185	2343	3439	2819	3302	2838
ENSG00000001561	1116	1238	2286	1002	627	2243	1465	1586	1591	2369	1797
ENSG00000001617	1736	836	1082	2174	697	1009	966	1105	1362	3173	1737
ENSG00000001626	247	686	3529	305	399	280	102	1977	306	1595	174
ENSG00000001629	2292	1147	2141	2426	1446	3028	2764	2516	2932	8228	7520
ENSG00000001630	369	48	235	235	243	233	151	100	149	585	323
ENSG00000001631	1084	578	1282	1132	983	1350	1117	820	1561	2202	3968
ENSG00000002016	676	117	477	773	312	286	649	128	396	408	581
ENSG00000002079	69	3	15	8	14	14	12	65	23	113	113
ENSG00000002330	1385	1320	2787	1851	1509	1711	2225	2341	2585	3833	3321
ENSG00000002549	4272	5343	3386	1396	2867	7321	12768	4285	3723	11941	4337
ENSG00000002586	4322	7155	5219	22209	1442	2287	7795	8111	12775	15703	6022
ENSG00000002587	368	1127	5802	521	71	375	294	1061	1547	1642	293
ENSG00000002726	54	1148	6686	7517	7	23	12689	167	332	97	7655
ENSG00000002745	10	17	21	76	2	5	3	16	42	9	13
ENSG00000002746	40	47	25	43	12	78	131	63	142	53	389
ENSG00000002822	1275	1299	1345	2130	1023	1218	2898	1777	1941	3279	1792
ENSG00000002834	11505	7162	14702	9466	6805	14621	18962	20420	12491	49529	43172
ENSG00000002919	937	1269	870	809	358	1133	583	1072	1570	2822	1674
ENSG00000002933	1086	3918	8756	14062	397	1077	3497	1202	3461	3370	1386
ENSG00000003056	3223	3748	3365	3203	1400	2400	3454	2099	2127	6449	5478
ENSG00000003096	22	103	24	37	9	182	4	85	278	85	28
ENSG00000003137	161	120	40	60	30	364	960	172	695	1452	1170
ENSG00000003147	3495	1206	1787	4946	3386	2217	2575	1365	2751	3274	1068
ENSG00000003249	1690	494	1445	1484	1848	1978	2869	1608	1275	4239	670
ENSG00000003393	1087	400	1268	1542	803	1428	1557	1047	1336	2210	2143
ENSG00000003400	1312	979	1774	749	792	2894	1988	2039	3125	4253	2529
ENSG00000003402	15182	3389	8021	3806	2747	13273	6560	12599	8422	25050	15715
ENSG00000003436	13593	6855	22875	6219	6076	28513	2757	34144	2945	65018	1175
ENSG00000003509	1135	328	818	629	463	586	817	523	669	1370	714
ENSG00000003756	6749	1433	5869	3541	1831	2793	2374	2269	4510	5810	5101
ENSG00000003987	66	30	57	7451	65	44	150	79	180	264	283
ENSG00000003989	1033	507	2673	25759	10451	156	5078	641	4030	5590	311
ENSG00000004059	5069	4352	6786	5496	2370	4217	4035	8220	8132	6820	10857
ENSG00000004139	354	160	711	626	62	563	199	354	558	720	619
ENSG00000004142	4212	2868	6104	6756	2246	5168	3553	5847	5526	12012	4675
ENSG00000004399	5111	3736	17994	5808	844	7206	3312	11615	8932	11436	5215
ENSG00000004455	5512	3328	7476	4345	2465	8458	5039	7023	5355	8167	5933
ENSG00000004468	3463	916	525	90	128	809	411	460	675	1901	1480
ENSG00000004478	3178	1688	3853	6775	8057	3195	17528	3261	3040	5687	5955
ENSG00000004487	4018	1697	3146	3128	2493	2660	6321	3885	3242	5800	4359
ENSG00000004534	6958	1149	5120	4478	1315	2503	2112	2315	4026	6450	5327
ENSG00000004660	567	240	1050	1342	76	265	437	462	481	716	510
ENSG00000004700	964	657	499	647	575	616	1407	564	669	2253	2252
ENSG00000004766	1107	425	960	769	756	1135	833	811	981	1764	1699
ENSG00000004776	315	255	20	178	33	435	68	174	214	320	46
ENSG00000004777	2119	92	759	609	760	102	396	225	6401	637	2765
ENSG00000004779	2662	1534	2258	1404	1383	723	1806	1715	1732	2303	2841
ENSG00000004799	5943	915	1326	3528	1732	327	239	1448	267	2698	4610
ENSG00000004809	8	9	1	2	3	8	3	38	5	9	12
ENSG00000004838	93	826	336	50	1617	74	32	204	324	972	295
ENSG00000004846	2	0	4	10	0	1	4	3	5	27	2
ENSG00000004848	112	90	102	264	841	685	4	95	1396	130	15
ENSG00000004864	1367	642	982	1201	535	1404	1683	777	1544	2711	1892
ENSG00000004866	1416	882	2037	1769	1427	3742	1254	1224	1716	2262	2516
ENSG00000004897	1888	1475	1946	1178	1257	2831	2835	2146	2688	9063	3868
ENSG00000004939	4	0	2	1	1	1	1	3	0	4	32
ENSG00000004948	3	11	1	77	3	5	2	5	250	330	38
ENSG00000004961	876	744	485	1148	499	641	1433	692	962	1555	905
ENSG00000004975	2401	752	2582	2365	883	802	1574	768	1032	1985	2277
ENSG00000005001	4676	1495	3773	233	1105	441	958	2111	2347	2600	1157
ENSG00000005007	6533	2248	7653	8601	3974	6564	7407	6566	7634	12224	7297
ENSG00000005020	2639	2703	1420	1209	1509	4025	4327	2981	2760	8430	3948
ENSG00000005022	12125	8062	17333	9025	5527	14422	16914	9941	17820	15557	11222
ENSG00000005059	724	1085	616	427	244	297	1890	1316	1210	2765	1020
ENSG00000005073	30	1	3	0	1	0	96	1	15	1	1
ENSG00000005075	1224	1105	1398	1647	1423	1044	1212	2126	2292	1893	2018
ENSG00000005100	634	408	1523	1437	455	1492	1405	509	723	1601	1369
ENSG00000005102	79	209	4	3	4	20	52	17	16	46	16
ENSG00000005108	112	562	177	254	57	73	1333	225	273	329	96
ENSG00000005156	1287	435	945	1371	847	1433	1656	1160	1678	3799	1226
ENSG00000005175	1232	681	1363	1531	1124	1021	2714	1118	1095	2802	1808
ENSG00000005187	3740	228	945	383	152	768	110	493	448	1926	202
ENSG00000005189	334	90	94	81	203	65	199	165	300	365	193
ENSG00000005194	2312	1536	3276	2034	1069	2743	3710	1206	1814	2991	1608
ENSG00000005206	2376	850	4048	3087	2710	1519	915	1390	4491	3013	2000
ENSG00000005238	1186	527	1534	662	596	984	1178	2085	1909	2084	2993
