TCGA.L9.A7SV	TCGA.69.7973	TCGA.55.8505	TCGA.55.8508	TCGA.91.7771	TCGA.97.8176	TCGA.64.5815	TCGA.86.A4P8	TCGA.64.5779	TCGA.50.8459	TCGA.73.4675	TCGA.73.7498	TCGA.55.8205	TCGA.55.7283	TCGA.55.A48Y	TCGA.55.A48X	TCGA.55.7576
ENSG00000000003	1702	4175	1511	1441	3682	3032	1146	1161	1543	1809	5955	5063	2171	2540	4135	3722	4210
ENSG00000000005	2	0	0	0	3	0	8	2	0	1	0	4	0	3	0	0	1
ENSG00000000419	2124	2496	1169	770	2099	1068	554	1245	1387	927	1446	1974	2342	1071	1123	1286	2414
ENSG00000000457	946	1462	575	649	794	697	301	1005	610	492	1337	2270	733	784	757	1234	2501
ENSG00000000460	432	1248	336	299	274	425	138	256	336	120	310	452	617	373	445	515	1211
ENSG00000000938	455	551	348	697	1211	647	844	4584	337	2678	1494	1406	3207	667	472	835	1463
ENSG00000000971	586	4122	4202	2073	5683	7053	3072	3567	2363	5646	3211	5842	4985	2453	2919	5993	7394
ENSG00000001036	2550	3449	6205	1739	3376	3279	2277	2685	2197	3200	4527	2186	9542	1729	3157	1943	4825
ENSG00000001084	4546	764	19873	978	2423	7188	345	1388	1777	1994	5286	6543	926	324	3796	2517	3761
ENSG00000001167	4858	3343	1529	775	1823	1478	1290	1282	1815	911	1473	3037	3664	3460	2366	3160	4572
ENSG00000001460	1067	915	412	242	216	346	211	583	295	564	966	673	687	571	316	783	1516
ENSG00000001461	3109	2023	857	684	1281	804	1118	2444	934	1745	4135	4092	2912	2931	1314	2512	4608
ENSG00000001497	3868	4043	1510	1676	1639	2261	1068	1900	1566	1434	3393	3377	3732	2848	1756	2126	2492
ENSG00000001561	6657	2090	1150	880	2971	1105	810	1981	1535	1467	2645	4689	1944	5453	1048	3245	6787
ENSG00000001617	874	3081	1623	1260	807	2919	1123	1875	1135	1649	3069	4162	2316	775	2572	926	1409
ENSG00000001626	23	1295	348	391	409	337	219	1563	11	422	72	1601	309	1005	97	1005	502
ENSG00000001629	3609	6895	2323	1732	2353	1723	2106	2640	2277	2184	2740	3843	11027	2452	2698	3016	7532
ENSG00000001630	227	626	586	167	206	170	176	289	154	110	601	280	577	614	247	425	870
ENSG00000001631	2312	2978	1354	677	1340	734	540	1940	1098	1017	2258	2720	3670	1342	1104	1631	2783
ENSG00000002016	494	1024	382	250	385	302	76	524	392	234	523	824	439	131	199	284	603
ENSG00000002079	100	7	79	9	15	42	16	12	5	155	185	33	160	22	18	29	62
ENSG00000002330	2073	2501	1302	1088	1189	1415	928	2184	1111	1474	3465	3079	2233	1617	1132	1769	3647
ENSG00000002549	2503	4886	2565	2368	10197	2609	3112	6351	3025	4073	5999	5355	17698	6684	5027	5001	10553
ENSG00000002586	2977	16922	10299	3511	5708	8954	9809	7624	7290	16790	11353	9330	15847	4901	6501	5211	12571
ENSG00000002587	545	1370	911	691	367	522	579	332	424	2126	951	845	868	853	163	1338	4276
ENSG00000002726	11	13739	653	2609	8565	4339	3845	112	1680	1739	498	5625	223	3433	4899	245	120
