TCGA.3B.A9HP	TCGA.X9.A971	TCGA.3B.A9I0	TCGA.K1.A3PN	TCGA.IE.A3OV	TCGA.3B.A9HR	TCGA.DX.A8BV	TCGA.3B.A9HL	TCGA.X6.A8C4	TCGA.DX.A6YX	TCGA.DX.A3LU	TCGA.3B.A9HV	TCGA.FX.A48G	TCGA.DX.A3UC	TCGA.DX.A8BU
ENSG00000000003	900	531	422	530	244	1022	1630	2495	1477	3514	1031	1108	1150	122	2479
ENSG00000000005	13	14	57	733	303	370	35	398	0	0	108	89	81	46	12
ENSG00000000419	1310	1087	1405	1523	1868	2390	1090	1556	1856	2349	1018	2151	636	763	3622
ENSG00000000457	868	713	576	640	901	1024	771	661	882	524	275	594	231	316	456
ENSG00000000460	285	1058	342	413	702	715	577	422	712	494	202	888	68	225	1119
ENSG00000000938	375	156	454	119	326	144	223	236	230	203	296	75	65	153	196
ENSG00000000971	1968	360	477	394	1689	200	10854	1213	3415	3175	6353	76	835	46	20342
ENSG00000001036	2485	5349	3812	2334	2555	1577	3352	5627	6141	6265	8111	2810	2146	1850	4050
ENSG00000001084	506	737	650	636	1764	2719	1110	672	749	1883	686	1144	395	274	1549
ENSG00000001167	1137	1661	679	642	895	1718	1206	1051	1007	1340	3614	1677	342	412	3102
ENSG00000001460	197	341	43	143	61	35	136	276	2654	3474	64	353	369	28	12
ENSG00000001461	730	4338	205	160	387	138	352	415	2480	3770	192	1077	610	114	89
ENSG00000001497	2425	3548	3242	2398	1842	4604	2488	1660	2184	4948	2190	2847	2538	1347	2621
ENSG00000001561	402	1122	677	354	1378	2194	306	839	40	274	270	1862	28	190	1861
ENSG00000001617	3035	4093	1752	1345	4120	2163	4645	4449	1059	947	517	3477	1543	337	1195
ENSG00000001626	46	0	1	6	2	17	0	14	0	2	0	3	0	5	4
ENSG00000001629	1479	2673	1263	1013	2492	3346	2925	1954	2289	5926	916	2518	546	1070	3513
ENSG00000001630	50	161	62	134	235	202	155	170	322	819	47	859	45	101	315
ENSG00000001631	1313	1429	1259	903	1726	2788	1604	1596	747	2694	288	1549	212	767	1650
ENSG00000002016	754	733	744	362	612	587	196	304	581	634	132	693	277	211	204
ENSG00000002079	13	1	8	9	6	7	0	4	1	196	1	8	1	16	4
ENSG00000002330	2674	1527	3433	4664	2018	3070	1784	1959	3792	3805	4219	2144	14136	2708	2444
ENSG00000002549	4720	2951	7513	6117	7290	2233	5430	5740	5367	6670	13269	3541	1387	1548	4129
ENSG00000002586	24211	47230	19535	23427	11851	17960	22234	43168	41021	47913	39938	79490	27750	16795	43955
ENSG00000002587	173	49	99	101	195	184	139	208	103	60	147	78	52	123	163
ENSG00000002726	22	4	12	1	4	10	2	6	6	15	20	0	35	6	5
ENSG00000002745	2	2	1	0	0	33	3	6	32	6	25	2	11	6	232
ENSG00000002746	26	22	3	197	20	26	5	19	975	1194	23	12	105	23	16
ENSG00000002822	1696	739	2641	1556	1392	1444	1907	2587	3846	2651	3867	2472	2917	736	2162
ENSG00000002834	10022	18226	9340	5503	7576	7455	16187	21673	8319	14041	9692	9078	7851	4180	14964
ENSG00000002919	1190	1626	1239	1935	901	1310	1302	1206	861	1216	2424	2404	1695	1025	1080
ENSG00000002933	3199	4028	3818	5721	8872	5651	1660	8648	398	1744	17341	2517	798	3991	1248
ENSG00000003056	1829	4754	2829	2541	4278	4304	2106	18912	4972	5510	792	3339	442	1502	1411
ENSG00000003096	1005	1297	551	1739	796	6580	458	941	15	4	1317	8279	5100	748	1490
ENSG00000003137	100	639	158	314	153	368	2354	6050	390	125	204	322	95	50	765
ENSG00000003147	351	118	186	102	163	78	430	610	54	98	422	86	215	161	63
ENSG00000003249	581	1124	619	234	1607	597	11	36	13	745	179	1131	19	38	112
ENSG00000003393	1110	1637	644	640	850	1727	1242	1096	1850	1412	473	1062	449	523	1375
ENSG00000003400	1443	734	545	257	564	435	2186	1375	142	545	914	160	641	213	146
ENSG00000003402	6142	3384	7209	4078	4678	6156	4434	3942	2700	2277	3217	2230	2317	2425	2010
ENSG00000003436	1176	388	277	263	1999	427	5304	7881	3143	20739	5019	227	242	37	2879
ENSG00000003509	695	474	599	369	354	461	630	468	493	699	428	877	301	202	535
ENSG00000003756	7372	7639	7588	4670	5452	7646	5152	4950	5567	3336	2160	6010	3766	2811	2161
ENSG00000003987	68	39	61	51	326	53	46	60	156	47	97	32	41	23	93
ENSG00000003989	438	118	1011	110	8862	98	1903	1554	418	893	189	136	957	34	2526
ENSG00000004059	5797	6934	6339	9400	8120	7211	4207	6260	4076	8050	10203	13035	17167	4873	7143
ENSG00000004139	960	1434	1410	925	1846	3040	397	387	370	454	68	1101	486	774	237
ENSG00000004142	5194	5714	6425	9947	7307	6970	4010	3081	3607	5273	5641	10198	7715	4602	3673
ENSG00000004399	19315	12613	12068	8004	13402	6372	38596	22237	3498	5753	13129	8998	9212	1639	10978
ENSG00000004455	4553	4350	4597	4151	3650	4990	4175	3815	8299	9617	4412	5355	4050	2086	8893
ENSG00000004468	113	198	170	27	763	58	149	203	9	94	2081	35	54	30	116
ENSG00000004478	5206	3297	4263	3302	6806	5538	2697	3741	19876	15219	4461	6811	9935	1847	3590
ENSG00000004487	3663	4828	3793	3394	3878	4531	4239	4526	10823	13195	2811	6979	3810	2448	7801
ENSG00000004534	6929	4799	5731	2224	3131	7237	3870	3911	3583	2688	2087	6567	6827	2459	2252
ENSG00000004660	519	420	561	465	786	1429	675	295	3666	301	352	1075	357	341	390
ENSG00000004700	879	3154	1143	816	2500	2823	1859	1562	3770	5871	99	1848	75	551	2228
ENSG00000004766	867	1118	849	642	1499	2060	1140	1002	814	1810	440	926	333	575	1413
