TCGA.IW.A3M4	TCGA.DX.A8BT	TCGA.KD.A5QS	TCGA.KF.A41W	TCGA.HB.A43Z	TCGA.DX.A3U7	TCGA.PT.A8TR	TCGA.3B.A9HI	TCGA.IE.A4EH	TCGA.DX.A7EN	TCGA.X2.A95T	TCGA.JV.A5VE	TCGA.DX.A6B7	TCGA.HS.A5N9
ENSG00000000003	1581	4598	3026	1114	612	744	1080	631	594	912	864	1247	737	2058
ENSG00000000005	38	13	14	2	8	7	14	26	6	33	4	2	83	0
ENSG00000000419	1954	2483	1869	1120	1598	2466	1706	1492	1670	2394	907	2871	2343	1706
ENSG00000000457	818	633	751	179	1222	885	2162	536	660	855	530	702	532	1184
ENSG00000000460	315	675	614	219	897	866	366	353	440	774	359	896	248	1721
ENSG00000000938	187	291	190	344	203	145	89	361	160	163	138	218	216	12
ENSG00000000971	497	4204	419	1430	352	762	417	3256	123	769	650	498	221	79
ENSG00000001036	2313	8472	2991	2378	3344	1940	2706	2359	2901	4844	1333	2980	1626	972
ENSG00000001084	1652	1578	1333	412	1559	1451	2877	560	643	1107	1729	1366	1051	1374
ENSG00000001167	4651	1278	1157	407	1330	989	3287	850	2047	880	4033	2787	974	1012
ENSG00000001460	254	668	149	652	601	88	1062	76	644	28	876	510	19	645
ENSG00000001461	395	1159	342	943	830	1770	1225	245	719	57	2814	1680	64	1590
ENSG00000001497	1751	2674	2914	1509	3811	2783	3070	1058	1967	4912	3767	3834	3044	2931
ENSG00000001561	380	283	87	158	983	898	168	356	64	61	944	399	102	873
ENSG00000001617	624	3397	2898	1555	1233	2694	3397	5096	1983	2284	2173	631	466	1667
ENSG00000001626	8	1	1	4	0	0	10	2	0	2	2	0	13	0
ENSG00000001629	4281	5826	2055	1071	3406	1294	3251	1058	1800	1662	5178	3824	2306	2576
ENSG00000001630	110	257	166	58	487	134	105	31	70	272	208	54	123	604
ENSG00000001631	1239	3287	946	526	2109	922	1795	795	1182	1046	1995	1902	2067	1473
ENSG00000002016	558	288	236	124	744	537	2021	231	297	425	441	549	487	181
ENSG00000002079	13	7	3	0	10	7	39	7	14	5	12	8	6	1
ENSG00000002330	2786	2857	4862	1584	1336	2703	2298	1486	3441	5685	1908	5748	4289	2064
ENSG00000002549	3698	7955	2755	1746	3455	3525	3543	4153	2623	3325	3585	12196	4359	3084
ENSG00000002586	21549	21603	63295	7912	17566	39325	9887	22823	22119	39008	18078	25498	22973	12482
ENSG00000002587	148	323	412	136	37	30	175	87	140	71	126	83	37	488
ENSG00000002726	3	9	3	3	14	17	9	34	3	2	4	5	6	0
ENSG00000002745	1	5	93	1	4	5	1	3	3	0	4	4	1	1933
ENSG00000002746	1	455	12	102	610	21	0	1	0	9	1	24	0	1
ENSG00000002822	1638	10169	1066	741	2595	1189	5017	1884	1807	1679	1936	2182	1629	2906
ENSG00000002834	12293	28570	20111	9269	4408	18268	15351	10025	11675	16027	9031	12827	5454	9117
ENSG00000002919	1167	1828	1137	790	1522	1478	597	816	1421	1568	1202	1789	1181	1647
ENSG00000002933	3874	7382	2276	326	2912	993	1627	1787	229	1171	307	1120	9597	143
ENSG00000003056	3032	4147	2599	1280	3374	3642	3513	1036	2221	2222	2083	4050	1850	747
ENSG00000003096	22808	2165	3322	263	1388	3047	701	184	5734	2271	6775	4045	930	949
ENSG00000003137	1655	2368	124	197	3447	189	180	442	23	69	1004	66	24	496
ENSG00000003147	165	374	127	96	61	122	320	441	166	67	635	218	69	40
ENSG00000003249	28	12	15	15	1490	638	1216	9	56	1030	111	96	315	1072
ENSG00000003393	1649	1797	669	582	1456	1033	1610	580	1000	1086	2660	1763	1147	1233
ENSG00000003400	279	1715	553	219	176	215	678	1598	300	320	344	368	127	64
ENSG00000003402	3429	5393	2244	1255	3388	1996	3359	2830	2933	3777	4682	3656	5619	2074
ENSG00000003436	898	32872	1336	693	461	177	284	2068	283	168	223	111	169	117
ENSG00000003509	263	991	610	320	597	688	701	389	480	470	1262	495	1100	567
ENSG00000003756	4930	3011	3305	2124	6493	5683	15044	3766	3593	4697	9641	3698	5225	3893
ENSG00000003987	69	44	85	14	55	76	185	29	58	98	202	49	98	58
ENSG00000003989	7736	428	232	170	1707	467	3057	578	503	501	5398	145	1509	41
ENSG00000004059	10391	13927	4556	3147	7146	5731	6510	3650	11643	4509	6375	10642	6463	3907
ENSG00000004139	1248	381	560	140	1050	1145	894	93	1295	777	781	999	1132	611
ENSG00000004142	7168	6400	5165	2593	4813	6392	4437	1883	7650	8678	5704	7690	7839	3990
ENSG00000004399	6728	23125	21600	11197	7221	13244	15669	18816	7846	17093	11287	11791	6147	8946
ENSG00000004455	2421	5034	5278	4202	4707	5730	5703	3043	4638	6216	4635	6402	4204	4891
ENSG00000004468	75	407	72	129	100	24	4	128	34	19	43	417	148	41
ENSG00000004478	16521	3305	6632	1839	9182	5579	11046	1731	3713	4138	881	6395	6908	5299
ENSG00000004487	3931	5485	6976	3948	3747	5772	6731	2113	1984	8566	6123	7081	2321	9363
ENSG00000004534	6249	3107	1550	2393	3188	3868	14001	2748	5152	5331	6885	3877	3047	3925
ENSG00000004660	910	365	272	1205	1088	567	1369	192	686	848	387	2011	623	1272
ENSG00000004700	1887	2309	1624	474	3504	5375	1469	531	1174	858	1146	3227	701	1257
ENSG00000004766	1278	2423	676	336	950	885	1240	586	925	767	1556	1810	1290	927
ENSG00000004776	3176	10566	7263	2154	44091	16674	39668	3694	22192	22602	4252	4341	72860	23993
ENSG00000004777	244	1057	1412	1147	5088	2172	765	490	892	3739	3873	1572	1241	2260
ENSG00000004779	2535	2527	1469	1111	1610	1457	2025	1598	3565	3620	2646	3229	2896	2799
ENSG00000004799	1060	3630	4094	368	301	6442	519	1959	135	1005	1888	1083	11493	28
ENSG00000004809	577	12	668	6	22	7	195	6	92	83	12	836	0	3
ENSG00000004838	112	53	158	101	157	552	223	30	334	1533	369	219	655	383
ENSG00000004846	886	969	393	168	1	0	2	36	48	3436	62	6591	417	0
ENSG00000004848	0	1	23	0	559	2	321	0	0	6	4	1	1	3
ENSG00000004864	1341	1884	991	699	825	1027	696	678	923	1796	1726	2275	503	597
ENSG00000004866	828	2574	1186	530	1317	1458	1325	741	1278	1121	1172	1314	1929	902
ENSG00000004897	6674	5047	3386	1645	6024	4165	3618	1897	4017	5595	4640	4042	4044	5860
ENSG00000004939	252	18	1	0	4	1	8	5	3	4	1	0	1	5
ENSG00000004948	4	15	16	0	6	4	2	4	0	0	8	19	2	0
ENSG00000004961	818	1562	1122	610	1419	1602	629	628	628	1657	1021	1459	1273	870
ENSG00000004975	3629	2861	3498	709	7436	4167	4294	982	1906	9871	2945	2645	1853	3054
ENSG00000005001	0	0	0	1	0	0	1	5	0	4	2	2	0	0
ENSG00000005007	6122	10127	8322	2832	9781	5389	7593	4328	6333	11975	10009	6816	9131	10063
ENSG00000005020	1273	2582	381	771	236	2269	129	885	212	152	275	3371	279	1506
ENSG00000005022	11423	12399	7461	6942	16868	15487	9891	3426	6126	22265	9289	12798	12672	5094
ENSG00000005059	200	2817	422	578	1013	2487	2266	1029	470	1775	1497	2661	919	1752
ENSG00000005073	5201	673	593	485	18	10	3599	382	3325	9	5503	92	0	608
ENSG00000005075	1284	3682	1638	783	558	1181	1170	1185	1529	1523	914	1601	1747	1253
ENSG00000005100	1620	1885	1052	755	2228	1156	1629	615	513	1754	766	733	845	928
ENSG00000005102	457	147	4	55	58	123	254	459	137	72	87	613	121	87
ENSG00000005108	416	736	326	105	298	159	272	613	115	324	260	141	129	13
ENSG00000005156	2092	1392	1571	777	2077	1240	2295	664	3111	2331	2523	1914	2190	2059
ENSG00000005175	2549	1868	1138	517	3137	1998	1624	822	876	2569	1077	1557	1639	2362
ENSG00000005187	946	158	15	20	225	81	741	12	284	29	854	507	696	6
ENSG00000005189	597	331	237	154	1047	574	117	161	1579	4393	1354	946	1530	393
ENSG00000005194	1099	1932	806	809	1298	1225	2222	1021	1292	2211	948	1478	1411	1746
ENSG00000005206	2743	3478	1544	1228	1557	2847	3346	1416	4165	7772	4470	3239	3998	2268
ENSG00000005238	1851	2912	582	649	1095	794	1121	829	1436	2523	1588	1862	812	860
ENSG00000005243	3383	3619	3101	666	1212	3266	3619	631	3884	4568	213	1783	3139	717
ENSG00000005249	1586	348	39	188	1394	83	302	340	919	146	484	1454	1028	1736
ENSG00000005302	1384	1836	2027	775	2582	1998	994	1225	1028	1944	1520	1603	746	1303
ENSG00000005339	10515	5262	4192	1492	12254	4231	12199	3507	6441	7842	21309	5494	6852	4580
ENSG00000005379	3606	400	7666	332	25035	3250	2456	320	12504	24438	9268	8390	4222	29535
ENSG00000005381	10	85	109	32	10	3	0	4	1	5	2	20	10	0
ENSG00000005421	2	1	15	0	1	0	1	13	0	38	12	1	0	0
ENSG00000005436	1284	1078	658	363	3594	872	1828	341	1042	1092	1519	988	1117	1561
ENSG00000005448	287	995	279	907	933	1263	756	522	984	1152	850	627	582	964
ENSG00000005469	1161	1137	644	241	1000	536	1758	397	494	169	1102	1150	1147	436
ENSG00000005471	710	33	29	14	8	22	22	48	11	18	97	55	24	119
ENSG00000005483	4903	5072	1640	1315	3335	1987	4515	1795	2442	2203	10370	2824	4633	3794
ENSG00000005486	2045	7075	1638	1177	1325	1320	4900	1717	1989	2921	1596	2460	3444	1030
ENSG00000005513	23	68	39	17	15	13	6595	41	34	2	9	5	8	1
ENSG00000005700	4290	3251	2679	1022	2996	1585	4179	1260	2261	3534	2950	3174	1652	2356
ENSG00000005801	939	974	315	441	555	452	1344	486	638	446	559	1112	483	253
ENSG00000005810	2021	1855	2014	681	7265	2807	2102	1672	1498	2174	5211	2673	2883	3047
ENSG00000005812	2878	2429	2686	786	4236	7976	2802	2149	1802	2701	5156	5186	5404	1629
ENSG00000005844	189	825	380	279	176	162	180	981	227	109	401	1543	191	60
ENSG00000005882	1372	1373	288	351	1412	1400	2088	703	717	1383	1842	682	3686	1315
ENSG00000005884	1698	914	312	2081	3853	5634	2161	1208	1187	5575	10462	973	1749	4059
ENSG00000005889	3687	2002	3284	789	3852	2514	5206	991	2062	6389	3065	3126	2452	4410
ENSG00000005893	11972	18256	31350	8666	15018	9878	12315	4287	7314	10905	9702	14637	8770	5739
