TCGA.FS.A1ZE	TCGA.W3.AA1O	TCGA.EE.A185	TCGA.GN.A8LK	TCGA.EE.A2MD	TCGA.EE.A2MQ	TCGA.HR.A2OH	TCGA.EB.A5FP	TCGA.EE.A3JI	TCGA.FS.A4F0	TCGA.EE.A29Q	TCGA.EE.A29V	TCGA.EE.A2ML	TCGA.ER.A19H
ENSG00000000003	889	1504	1053	1617	1989	2593	617	3416	35	3424	7238	2454	1735	2684
ENSG00000000005	17	1	0	2	0	0	1	0	2	20	5	0	0	20
ENSG00000000419	2682	1770	638	738	1746	1901	2013	2774	2309	1859	2740	1889	1496	1283
ENSG00000000457	1351	1203	382	445	1008	963	1106	999	1537	1665	1904	607	1052	1392
ENSG00000000460	711	1527	362	630	1213	1849	809	1536	723	1344	853	525	478	976
ENSG00000000938	101	198	28	31	232	372	1849	43	193	77	429	200	116	427
ENSG00000000971	2373	1273	299	80	1519	1941	3971	301	516	3425	991	436	2279	2461
ENSG00000001036	3735	2735	2150	5774	6604	8264	5098	4697	3435	3520	11468	8975	6622	5875
ENSG00000001084	2642	1233	1471	615	2918	1488	1308	2404	1091	2519	2135	1201	2090	2729
ENSG00000001167	5667	1455	3046	1833	3096	3409	2106	2473	5553	4310	2840	1964	3711	7016
ENSG00000001460	1524	1711	669	1059	2310	2885	1124	1197	5831	2667	2641	1035	1620	1260
ENSG00000001461	9811	2210	2497	1545	17117	14756	6151	4137	10657	10116	28699	1955	7637	10792
ENSG00000001497	3339	2845	2044	3073	4298	2469	2543	3559	4697	4730	6878	5515	2370	3574
ENSG00000001561	76	31	7	86	2069	56	715	28	54	32	1813	8	166	415
ENSG00000001617	366	649	320	844	515	1276	748	584	282	261	525	3139	695	805
ENSG00000001626	36	48	2	5	1	3	0	45	3	23	13	4	4	1
ENSG00000001629	4258	6971	818	1313	4828	4954	3838	7405	5209	5272	12379	1708	3925	5985
ENSG00000001630	709	10	287	200	1028	1221	378	679	1739	286	1014	323	326	522
ENSG00000001631	1878	3981	379	1039	3409	2500	2532	4923	3656	3295	4682	870	1193	2912
ENSG00000002016	512	479	345	262	306	482	311	610	1437	1199	626	222	433	748
ENSG00000002079	3	54	18	1	7	7	3	25	5	26	13	8	1	18
ENSG00000002330	1491	1225	1330	3575	659	1165	1048	1636	1962	1956	2938	3522	2106	2738
ENSG00000002549	5894	4908	2517	2648	10401	5399	32246	7403	12852	16297	13905	5648	10034	16273
ENSG00000002586	7853	21543	8890	25154	16861	19246	12296	33764	14965	10856	14870	74156	8177	17806
