TCGA.EB.A6QZ	TCGA.EB.A5KH	TCGA.EB.A6QY	TCGA.EB.A553	TCGA.EB.A57M	TCGA.EB.A85J	TCGA.D3.A51H	TCGA.EB.A3Y6	TCGA.EB.A5SH	TCGA.EB.A5UL	TCGA.W3.A825	TCGA.EB.A3XC
ENSG00000000003	1616	1140	3148	627	1409	1594	418	1838	870	1549	4856	1459
ENSG00000000005	0	0	1	0	8	0	4	0	0	2	73	0
ENSG00000000419	1286	501	3466	427	970	1149	1044	1661	902	2910	2661	2118
ENSG00000000457	569	257	477	317	500	920	723	1355	421	993	652	381
ENSG00000000460	577	185	709	315	343	811	437	1036	340	1165	498	739
ENSG00000000938	117	74	155	497	410	1104	2269	109	194	628	527	217
ENSG00000000971	376	267	566	424	1477	481	2334	1864	577	1205	1778	788
ENSG00000001036	5319	3843	8909	1896	2453	4222	1873	4459	1520	4354	2667	5361
ENSG00000001084	1457	468	2977	287	1286	2647	1441	1844	1041	689	1035	1141
ENSG00000001167	2744	1098	2774	635	1744	4017	1199	3454	4941	2511	3451	1263
ENSG00000001460	1026	228	1205	227	762	501	390	804	1893	1450	636	367
ENSG00000001461	4461	104	4066	410	4429	1482	1645	8441	597	2326	999	1507
ENSG00000001497	4289	2039	4084	2815	3415	3777	2405	5635	2871	5387	3586	3633
ENSG00000001561	31	6	31	24	46	54	561	1832	17	322	551	65
ENSG00000001617	450	447	1539	718	1999	275	351	440	732	383	1863	849
ENSG00000001626	19	1	28	14	115	42	7	21	0	25	101	6
ENSG00000001629	1753	1062	6454	1446	656	1339	1489	2960	621	3183	1691	3307
ENSG00000001630	120	302	419	36	166	143	55	374	160	645	128	459
ENSG00000001631	1220	621	4648	581	534	766	1261	2204	408	2585	1301	2093
ENSG00000002016	403	293	690	261	217	179	440	383	272	1019	644	298
ENSG00000002079	15	8	36	9	3	12	3	7	1	8	26	21
ENSG00000002330	1722	1437	862	1120	1643	1948	1167	2721	2251	1488	2160	1385
ENSG00000002549	5143	1739	6036	893	2224	10853	5265	10686	1166	11481	3994	4531
ENSG00000002586	13937	47934	14486	6146	32405	11487	11478	24885	69667	23046	11620	18436
ENSG00000002587	155	37	81	70	178	41	362	323	38	162	322	102
ENSG00000002726	31	13	64	17	172	118	44	9	33	25	25	17
ENSG00000002745	6	2	280	4	1	6	63	6	0	15	4189	196
ENSG00000002746	5	2	36	0	47	18	31	23	1	5	101	24
ENSG00000002822	5524	5695	8722	10537	5713	4671	2764	3365	6431	5846	2270	9520
ENSG00000002834	15858	23136	11343	4309	21136	14234	9487	13613	19957	16066	21779	9415
ENSG00000002919	2069	597	3118	781	1383	1797	1875	2183	1528	2394	1297	1408
ENSG00000002933	198	261	265	387	2091	917	3332	1166	773	1250	2438	479
ENSG00000003056	4468	5781	11203	663	4110	4033	2288	4361	7429	7762	3542	8827
ENSG00000003096	37	630	28	11	99	52	26	199	2	90	1213	18
ENSG00000003137	738	554	415	25	2459	1271	258	884	634	81	499	315
ENSG00000003147	922	35	659	112	649	384	769	631	56	1004	480	97
ENSG00000003249	2037	2157	3572	1912	3159	2021	1616	6977	1278	3628	1295	4030
ENSG00000003393	1852	1205	2696	1051	1034	1793	534	2600	1573	2755	2273	855
ENSG00000003400	794	33	526	319	542	305	917	717	97	988	327	296
ENSG00000003402	3353	522	4221	1978	2654	2637	7887	3612	1716	4668	3846	1392
ENSG00000003436	334	56	256	294	293	236	1134	357	75	245	3128	214
ENSG00000003509	742	130	1314	376	456	717	677	551	235	699	816	1023
ENSG00000003756	4173	1559	2883	3625	2965	4723	5192	6166	3965	4428	6214	3111
