TCGA.D7.6520	TCGA.HU.A4GX	TCGA.BR.8371	TCGA.D7.A747	TCGA.CG.5732	TCGA.CG.5724	TCGA.CD.8524	TCGA.CG.4477	TCGA.VQ.A91V	TCGA.CD.8527	TCGA.CG.5717
ENSG00000000003	1467	2710	767	1710	1289	1759	2872	1827	1215	718	4063
ENSG00000000005	2	0	5	6	1	9	3	4	0	0	0
ENSG00000000419	2346	5007	1729	1078	4910	2637	4045	3786	2525	3213	1962
ENSG00000000457	1263	1261	1040	487	811	374	1421	1192	1855	517	916
ENSG00000000460	387	471	231	168	258	312	708	760	974	305	274
ENSG00000000938	249	492	557	169	481	376	777	973	276	268	547
ENSG00000000971	3602	5542	5054	2077	1410	915	4599	6990	1286	729	4844
ENSG00000001036	8728	6572	2218	992	5997	5455	6621	5020	6628	8181	3599
ENSG00000001084	3669	3247	4058	1125	3221	1534	8264	4228	8658	2368	2785
ENSG00000001167	2239	2466	993	555	1465	855	2709	2428	2464	2069	1707
ENSG00000001460	1741	475	573	223	630	479	1083	1019	874	247	610
ENSG00000001461	2330	1793	2708	2479	2853	1198	3097	1302	3813	1665	2275
ENSG00000001497	1594	2300	2186	998	1557	2703	2768	1502	2197	1139	1697
ENSG00000001561	1540	2278	1734	865	1244	142	1443	2429	3042	848	660
ENSG00000001617	3046	1897	1508	399	3065	1636	2078	6188	1949	836	12912
ENSG00000001626	2142	4428	191	592	2207	10	266	3035	3409	2273	388
ENSG00000001629	4497	5302	2766	1672	2205	4311	5623	5194	8144	5427	3262
ENSG00000001630	603	702	375	113	306	381	522	105	1240	1437	586
ENSG00000001631	1729	3470	2170	1020	948	1038	3263	2378	4379	5307	1710
ENSG00000002016	279	738	592	338	128	361	341	510	305	82	193
ENSG00000002079	19	33	29	44	9	984	47	48	101	109	6
ENSG00000002330	3750	2637	2696	820	2490	2317	3957	840	2207	2661	1447
ENSG00000002549	11975	15331	3861	2147	5557	5300	7695	13245	4764	4507	7328
ENSG00000002586	12724	5085	15619	6350	4454	8206	13964	5447	3476	4781	7600
ENSG00000002587	1813	5178	602	347	2620	897	1484	2847	3759	5472	5088
ENSG00000002726	9979	2505	2046	5054	11327	3050	3233	2781	19032	13592	1899
ENSG00000002745	105	4	31	19	14	13	41	24	56	4	10
ENSG00000002746	46	17	29	40	38	52	56	112	137	171	43
ENSG00000002822	2066	2146	1597	552	1628	2212	2521	517	10875	1080	1886
ENSG00000002834	27016	27704	7290	4202	36487	27062	30228	18634	34308	18145	10431
ENSG00000002919	2122	1087	1191	491	1446	1492	1346	950	1850	770	1504
ENSG00000002933	15290	2953	2579	5961	17095	5891	4436	6292	1889	26210	2440
ENSG00000003056	8613	5708	1821	1196	2147	5332	2349	4727	1955	1058	3574
ENSG00000003096	545	60	1582	318	90	19	184	199	135	66	428
ENSG00000003137	12	24	121	68	264	94	442	171	233	35	788
ENSG00000003147	2959	4801	736	423	1352	1721	10336	2220	5639	693	1197
ENSG00000003249	3679	1865	1521	168	1478	1181	6251	1366	1470	939	4231
ENSG00000003393	1558	1539	1127	694	1049	814	3286	2660	2713	1303	1081
ENSG00000003400	3170	3233	1020	497	3629	481	3001	3928	5286	2088	2133
ENSG00000003402	5727	12990	10897	4131	5868	3038	15142	11705	9566	5455	5907
ENSG00000003436	3177	1119	2285	1039	1289	2746	17484	2125	14481	2971	1369
ENSG00000003509	537	899	696	369	469	701	1121	764	406	939	463
ENSG00000003756	1938	2782	5233	1932	2178	1467	4521	5006	4228	710	2970
ENSG00000003987	89	122	267	84	39	47	131	99	167	126	30
ENSG00000003989	227	127	4932	167	612	183	1809	954	5073	1001	1098
ENSG00000004059	7173	8983	3311	1335	5308	6197	10414	3233	7266	4702	5764
ENSG00000004139	1061	565	1056	366	898	758	734	190	585	549	377
ENSG00000004142	9987	8138	4306	1952	8078	13755	7263	5673	9264	14339	6680
ENSG00000004399	10939	2800	3882	1782	4273	5022	12227	4388	6150	6048	5534
ENSG00000004455	6980	7762	3401	1445	5771	5392	9537	3780	7289	4840	4669
ENSG00000004468	621	3350	653	257	865	107	723	2182	144	147	639
ENSG00000004478	12626	13635	4108	1769	4896	15076	5450	12272	4247	12188	8251
ENSG00000004487	4401	5187	3056	1470	3599	9320	6853	5517	3994	3012	3559
ENSG00000004534	1137	2813	4554	2038	1436	1447	4889	2991	2672	1068	1935
ENSG00000004660	608	208	658	189	358	687	456	309	442	269	394
ENSG00000004700	941	1115	743	469	433	1401	889	1752	2345	281	1145
ENSG00000004766	1378	2582	1270	755	571	953	1869	1464	2764	3270	1327
