TCGA.CD.8531	TCGA.CD.5804	TCGA.FP.7998	TCGA.CD.A4MH	TCGA.CD.8528	TCGA.CD.8530	TCGA.CD.A486	TCGA.CD.8526	TCGA.CD.8535	TCGA.BR.6709	TCGA.CD.A487	TCGA.CD.8525	TCGA.CD.8529	TCGA.B7.A5TN	TCGA.IN.A6RO	TCGA.CG.4305
ENSG00000000003	100	567	4194	10631	1000	1856	4634	3016	4949	941	2648	1402	2027	3079	1380	1579
ENSG00000000005	0	4	1	14	1	1	1	0	0	0	2	1	4	7	0	0
ENSG00000000419	2973	3164	2350	5627	2160	2511	3800	5405	6334	1660	4862	1948	3910	4241	3141	2839
ENSG00000000457	3044	1097	1606	1192	1275	1228	1243	1026	1645	501	658	472	1052	912	1954	817
ENSG00000000460	929	311	582	919	1089	491	674	809	1363	266	508	413	496	290	1432	568
ENSG00000000938	475	1266	1558	565	890	636	830	630	156	673	539	419	1963	614	182	798
ENSG00000000971	1794	2976	12678	1745	2781	7736	1488	2922	4742	4026	1492	1458	5592	2996	3274	5896
ENSG00000001036	3806	2069	3921	8076	8775	4506	3920	5930	5520	3032	3889	4146	7543	6976	9998	5363
ENSG00000001084	1346	1602	5247	4503	5284	2178	5733	3359	2244	1272	1749	831	2405	3966	7826	6061
ENSG00000001167	1938	876	2550	3591	2585	1601	3376	3413	2140	1112	1169	1114	2738	1907	2198	2702
ENSG00000001460	693	513	505	820	279	444	526	899	779	208	288	189	587	600	2637	603
ENSG00000001461	2998	1675	4681	2442	3786	3088	1767	2868	3108	947	1756	1171	3942	1986	3031	3550
ENSG00000001497	2878	2997	3809	1958	2682	1525	3200	2475	3415	1865	3119	1900	2542	2761	3680	1512
ENSG00000001561	1388	615	3128	3676	192	1153	3218	1904	3106	511	1332	511	1914	2730	4764	2088
ENSG00000001617	853	5659	6850	1215	1359	4125	5342	4970	13228	3544	1439	1479	5042	3059	2415	946
ENSG00000001626	41	1803	9093	3051	2561	2055	155	3165	4595	5	2948	3468	5111	13582	3708	445
ENSG00000001629	3343	2018	6279	7837	7405	4597	23210	5773	9902	3361	2216	1250	5858	34164	4696	5623
ENSG00000001630	1067	324	498	2089	3996	616	2920	514	1269	135	370	201	1325	689	1490	356
ENSG00000001631	1147	989	2450	5143	4495	2608	12019	3526	5095	1174	984	790	2751	28471	3494	2855
ENSG00000002016	810	253	635	882	501	803	722	1671	411	1948	328	398	405	572	2937	708
ENSG00000002079	7	17	35	18	16	118	64	98	68	20	10	34	78	119	147	57
ENSG00000002330	1738	2924	1219	3021	1122	2351	2445	4081	1819	1688	1317	1886	1698	6363	1560	1514
ENSG00000002549	5741	4336	35646	2780	7089	5502	6718	7811	4564	13338	3486	3674	9998	3366	11196	9431
ENSG00000002586	22155	10109	8940	30212	6439	14466	13437	5382	5453	13280	8568	7878	9101	10963	2863	8497
ENSG00000002587	274	1002	2083	982	3001	1895	1141	550	1197	367	678	344	1690	2174	2918	1217
ENSG00000002726	236	17622	527	58091	431	429	11933	3868	4928	485	3606	4511	8302	7501	9242	8827
ENSG00000002745	1	9	6	41	9	13	12	6	283	9	4	7	11	14	11	44
ENSG00000002746	33	24	61	77	208	274	132	146	52	293	117	33	258	507	22	20
ENSG00000002822	2055	1920	1923	2062	2035	2048	4655	1933	2454	2096	677	1538	4187	2395	2003	743
ENSG00000002834	31748	20131	29854	22300	26594	17598	17268	29904	33665	16411	12596	11484	32881	28754	67004	17694
ENSG00000002919	2018	1149	1858	1499	634	1179	1583	2044	3268	953	952	730	1885	1622	1775	1096
ENSG00000002933	2596	20643	8096	42390	1763	10091	17882	4314	31531	8626	4734	10482	9447	10345	822	5779
ENSG00000003056	7616	1654	8059	1119	4895	2574	3832	13139	4133	2533	1348	1160	5305	4167	6684	4138
ENSG00000003096	19	86	193	1049	23	792	120	764	154	57	308	50	188	93	25	466
ENSG00000003137	182	97	142	25	130	557	232	381	226	977	76	56	395	54	165	74
ENSG00000003147	108	2115	703	3373	3714	3638	5037	2223	5664	519	950	1078	2803	3698	5148	3368
ENSG00000003249	40	4448	553	738	1672	1678	1263	1666	5460	266	329	926	716	1086	1323	2451
ENSG00000003393	863	851	2015	2455	1352	1829	1826	4202	2719	890	1322	551	1655	1974	2846	2454
ENSG00000003400	3619	2616	5433	9182	5476	2103	4941	3337	813	817	3298	1518	3268	3677	1804	1739
ENSG00000003402	11869	6590	19915	15014	4163	10644	9129	20117	4190	8321	5115	4692	13438	11415	3804	6284
ENSG00000003436	788	4152	2128	8377	3104	8678	1219	3062	631	15569	2844	1981	3395	6838	10480	13263
ENSG00000003509	784	449	729	1444	910	838	1472	1299	790	404	564	562	521	932	1072	872
ENSG00000003756	2030	1909	4220	7575	2735	3825	6911	3277	3576	1747	2315	1636	4007	3790	3201	6459
ENSG00000003987	47	112	84	157	52	170	204	179	180	67	98	89	57	73	70	139
ENSG00000003989	155	462	1287	2769	931	6368	19306	2518	91	5183	735	699	507	400	89	374
ENSG00000004059	5177	8020	4259	10811	2513	3597	4384	4805	6533	3565	2773	2945	4982	6724	7102	4529
ENSG00000004139	732	257	1167	722	797	805	671	682	741	601	271	283	868	617	827	604
ENSG00000004142	7028	7925	6479	6603	10092	5093	7308	10968	7673	4297	5526	4758	7354	8956	11186	6909
ENSG00000004399	8248	9575	25379	2792	8877	17334	15486	20641	96755	29845	3697	5077	25066	8723	3050	5733
ENSG00000004455	6787	4803	6026	6550	10663	5349	13051	9304	5763	5453	4456	9207	5899	9115	13330	6006
ENSG00000004468	4678	230	19633	460	154	594	930	1497	107	1736	160	989	2795	254	231	1397
ENSG00000004478	5109	6709	5265	3165	24404	8205	10412	25828	17559	49605	5450	5770	8237	7921	37165	8643
ENSG00000004487	5997	2426	4991	13266	10263	3701	6258	11275	6662	2225	3128	2195	4111	4989	9162	5689
ENSG00000004534	3754	1597	3779	7220	2783	4134	7227	4904	4110	1639	2551	2477	3526	3645	2726	3821
ENSG00000004660	370	436	498	4321	2068	609	625	772	543	493	538	300	807	348	652	523
ENSG00000004700	4371	454	2119	584	1462	1189	622	2042	1710	1108	527	361	1778	852	1674	1389
ENSG00000004766	1011	758	1843	3462	2592	1525	6517	2063	2339	621	527	542	1540	3035	1932	1912
ENSG00000004776	577	6627	11061	1431	131	38429	560	968	3743	206	17141	2831	1913	4311	81	839
ENSG00000004777	679	497	926	5805	121	322	771	2259	1775	353	318	206	473	469	2029	599
ENSG00000004779	3918	3222	2099	3889	4967	2800	4968	2870	4273	1865	3106	1607	3572	6116	13011	1765
ENSG00000004799	468	900	3301	1006	979	5958	683	1099	427	4520	1650	266	3113	3539	1760	1777
ENSG00000004809	0	11	13	0	2	7	22	3	14	29	1	6	25	7	2	5
ENSG00000004838	39	107	40	26	36	70	99	103	77	44	23	25	124	20	58	36
ENSG00000004846	23	6	26	7	9	18	15	10	8	0	26	4	63	7	0	89
ENSG00000004848	27	1	11	108	25	66	17	16	33	14	0	3	16	6	571	4
ENSG00000004864	2089	2650	1803	4725	3639	2898	5685	3250	2924	1533	1403	1230	3759	6343	6085	3310
ENSG00000004866	1685	1808	1900	3755	2336	2794	1368	2139	2498	1255	1636	999	2500	3703	3667	3373
ENSG00000004897	5518	1657	6270	4441	6220	4297	3618	4627	8581	3407	2756	2174	5707	4647	5837	3724
ENSG00000004939	14	1	3	10	4	12	8	18	11	2	3	4	3	4	4	22
ENSG00000004948	6	8	32	6	13	23	23	42	3	13	2	6	18	31	174	16
ENSG00000004961	3955	2208	3181	1515	2647	1638	2442	1553	2216	1334	1955	986	2165	2658	2858	1536
ENSG00000004975	2331	1658	2405	2099	1964	1551	4561	4221	2452	986	1616	1166	2014	2628	1224	1319
ENSG00000005001	6	5807	835	4268	619	753	7623	940	2003	6	953	1623	5648	8333	1874	921
ENSG00000005007	10929	6505	16254	8851	17294	7663	7058	15424	15013	9342	3547	2686	11147	8149	7405	5609
ENSG00000005020	5079	1764	4180	6131	3912	4497	2565	4447	5518	2473	3522	1482	3700	3486	6868	7031
ENSG00000005022	23299	19043	18474	26641	37081	15865	22003	15708	29493	8339	23141	10032	26422	20159	48368	15959
ENSG00000005059	1461	515	1413	696	947	1145	632	596	794	790	556	596	1285	670	1729	1650
ENSG00000005073	62	3	1	269	1812	69	15	346	487	140	304	279	248	285	873	146
ENSG00000005075	3586	4486	2429	5675	4722	4756	11841	5084	5597	1695	2172	2324	5064	4454	5131	2110
ENSG00000005100	1897	833	2674	1423	3272	2059	2554	3039	2686	1053	1638	1194	1711	1618	1360	1780
ENSG00000005102	265	321	244	61	42	1024	25	364	9	91	70	141	611	10	22	242
ENSG00000005108	243	387	835	168	260	1859	321	560	354	172	289	314	1027	378	55	244
ENSG00000005156	2219	723	2928	2774	2939	1840	9238	3542	4208	1225	1069	704	2757	1997	2205	1213
ENSG00000005175	4873	1117	2264	2343	3265	1889	2679	4610	5615	1211	1499	1373	2153	2102	3250	2248
ENSG00000005187	9	454	1980	842	390	233	4194	616	19	128	287	363	1029	2745	29021	1442
ENSG00000005189	228	229	573	487	268	163	501	482	768	238	158	226	674	299	1517	454
ENSG00000005194	2446	2447	1988	2101	4238	1580	2431	3939	3583	2449	2150	1736	2723	2067	3053	3050
ENSG00000005206	4462	2919	3433	11021	3167	3218	4213	5451	5309	1103	1871	1543	3971	4774	7305	2951
ENSG00000005238	2014	1965	1505	1290	991	1249	1379	1606	2321	1449	612	515	3702	2759	1360	1987
ENSG00000005243	737	693	473	365	196	1031	799	334	584	922	677	421	619	1123	54	469
ENSG00000005249	143	300	1265	547	161	1595	304	1754	62	810	366	321	1676	806	141	571
ENSG00000005302	2398	1791	3272	2333	2780	1848	1787	2829	1365	1323	1589	1077	2449	2239	1921	2109
ENSG00000005339	12065	5386	18115	10243	14802	10899	13366	14365	5375	9977	5709	3780	18236	21239	30671	7291
ENSG00000005379	1442	176	998	425	172	474	777	378	754	479	382	233	400	319	27	221
ENSG00000005381	9	14	23	3	5	28	8	37	20	14	7	4	40	14	4	22
ENSG00000005421	0	686	3	13	5	66	81	18	5	34	13	153	115	29	12	7
ENSG00000005436	1647	445	1233	1977	2058	1829	1529	1409	2162	599	1371	796	1174	1293	2338	1075
ENSG00000005448	1596	770	486	975	142	531	1386	1840	736	924	464	595	422	676	658	345
ENSG00000005469	346	492	976	2461	527	692	2551	751	81	445	513	389	1345	924	742	687
ENSG00000005471	219	57	110	74	44	143	109	104	202	40	42	43	352	88	31	77
ENSG00000005483	10297	3235	10844	20040	7744	10628	5200	6703	8262	2844	4618	3128	8329	14765	10488	8752
ENSG00000005486	2838	8051	5455	15234	2902	10615	4800	10559	17834	9881	2401	5472	6681	9366	8316	5389
ENSG00000005513	10	44	67	52	31	241	91	120	3025	109	12	43	2057	330	29	21
ENSG00000005700	4445	1191	5453	6192	11659	3725	4929	2660	4688	2321	2926	2286	5364	7050	10891	6829
ENSG00000005801	1188	736	1830	9298	1888	1994	2242	3299	3300	505	1026	891	1018	2190	3154	1417
ENSG00000005810	11185	1191	13658	4910	5906	5167	4614	4988	4952	2529	3014	2602	7537	5708	4783	8472
ENSG00000005812	2959	1190	3920	5098	3883	3516	3368	2756	3582	1597	2275	1605	4560	6772	2370	5054
ENSG00000005844	7017	1118	11802	856	783	1013	1688	2249	224	3982	214	1051	5101	613	472	3305
ENSG00000005882	1074	1752	2442	2856	351	1498	2069	2134	4452	2227	939	521	3075	2259	1776	1939
ENSG00000005884	3097	14692	17627	17071	10163	8871	11658	9151	16485	70144	14600	8550	23353	31506	26618	17577
ENSG00000005889	5099	1124	4125	4581	5541	2627	2437	2615	4368	2192	1689	1682	2739	2327	2583	2321
ENSG00000005893	7647	6888	20811	16715	9977	9532	13145	7102	19599	6937	6455	3972	10586	14895	14711	11324
ENSG00000005961	5	7	14	15	6	154	244	174	28	32	23	57	20	47	26	23
ENSG00000005981	0	15	27	9	72	1629	1118	24	23	10	5	24	5193	46	121	2
ENSG00000006007	4711	5416	6126	6827	9717	4869	13053	5882	2730	2915	2304	2949	5811	12419	15617	7041
ENSG00000006015	2096	1402	1103	1671	1138	1731	1647	1464	1663	835	1226	906	2034	1989	1997	1200
ENSG00000006016	65	100	84	66	24	1761	211	119	486	1004	76	71	192	182	32	93
ENSG00000006025	1207	2464	2864	2391	958	1182	1428	779	1263	490	971	539	4857	5005	2480	2265
ENSG00000006042	316	4437	4631	7109	1855	3984	4036	6715	1761	866	2037	1283	5073	4965	6652	1545
ENSG00000006047	1	1268	4	577	1521	361	4223	2694	4524	7	207	478	921	313	92	327
ENSG00000006059	1	0	0	0	0	2	0	1	5	0	0	3	0	0	0	3
ENSG00000006062	6543	1673	4739	2799	637	1330	1426	2697	1397	1218	905	1252	2707	1278	1640	1017
ENSG00000006071	37	5	4	1534	14	19	3	65	70	19	3	3	35	14	25	27
ENSG00000006116	0	0	2	2	0	3	0	1	3	2	1	7	0	0	0	2
ENSG00000006118	763	1641	3820	4589	1514	4004	11810	12276	6977	8378	1721	3399	2665	4697	689	1369
ENSG00000006125	16300	7811	24896	10414	16187	16175	13437	21025	24396	16041	9421	7670	28958	22282	56316	33321
ENSG00000006128	2	64	6	23	1	48	443	15	0	0	26	10	467	0	0	6
ENSG00000006194	1353	1535	3172	1541	2286	1318	1783	2185	1138	1509	1110	571	2588	2835	1257	1676
ENSG00000006210	256	4639	31625	795	153	1991	1475	1577	982	1451	1037	1043	2717	1693	804	443
ENSG00000006282	1809	3612	4935	4972	1297	2888	4190	4247	4977	3953	2227	3065	4731	6863	7694	2084
ENSG00000006283	15	15	7	32	6	28	25	23	56	87	5	8	58	18	17	11
ENSG00000006327	1174	13036	2626	5888	4613	5943	5210	4767	2870	7302	4371	6405	6197	12464	6192	3815
ENSG00000006377	3	28	2	3	545	194	468	391	29	173	223	145	14	658	1	9
ENSG00000006432	876	647	1029	1991	1262	807	1555	2865	1915	514	1232	1638	1767	1079	1709	1238
ENSG00000006451	3356	3237	3531	5835	8106	4654	6227	5420	5960	3480	2288	2308	3953	4362	6375	5136
ENSG00000006453	1765	5615	4579	5957	14873	5233	9346	5845	7485	2186	1870	1612	7924	22910	16376	7101
ENSG00000006459	849	952	2791	5268	1556	1851	2612	1696	3615	727	1317	633	2057	2251	2945	4145
ENSG00000006468	269	675	840	750	730	716	1095	940	1113	976	601	240	579	1538	2640	499
ENSG00000006530	2373	1797	1593	3903	1808	1398	1449	2987	3540	1233	1257	855	1282	1537	1155	2734
ENSG00000006534	485	6547	3431	913	7905	2593	1507	1644	2797	11803	2810	4380	7825	7868	9926	3393
ENSG00000006555	18	1862	358	1294	3332	1301	2147	1765	1605	146	914	1093	2972	4004	4108	2992
ENSG00000006576	2163	676	2437	2185	1206	1756	1333	1365	2818	1048	958	703	1678	1941	1408	2252
ENSG00000006606	711	330	33	16	49	14946	57	58	33	16	14	125	90	30	10	48
ENSG00000006607	2506	2538	6989	7861	8805	3677	3568	4818	5357	1058	2166	1486	5469	5294	5555	3661
ENSG00000006611	29	3528	5395	25849	6517	589	2327	1579	5748	24	2049	1310	5839	10083	15649	5705
ENSG00000006625	469	2060	1325	5543	4183	1975	5801	2669	3694	1120	1699	1755	2923	3036	3797	2232
ENSG00000006634	2166	680	1394	3976	4324	1315	4505	2526	3304	576	1374	1034	1730	972	3547	1408
ENSG00000006638	285	401	594	177	158	1146	399	652	276	161	83	157	572	383	147	76
