TCGA.S9.A6U1	TCGA.HT.7483	TCGA.VW.A7QS	TCGA.HT.A5RA	TCGA.DH.A66G	TCGA.P5.A5EX	TCGA.DH.A7UR	TCGA.HT.7604	TCGA.IK.8125	TCGA.HT.A61C	TCGA.HT.A74K	TCGA.DB.A4XD	TCGA.HT.7477	TCGA.S9.A6TX	TCGA.DB.A75K	TCGA.HT.A619	TCGA.FN.7833	TCGA.HT.8114
ENSG00000000003	3545	3928	2446	3240	2562	4365	1943	6401	3563	2197	1441	3124	3637	2243	2328	2326	5403	8178
ENSG00000000005	1	11	3	9	6	10	3	1	13	4	3	0	3	1	0	1	1	7
ENSG00000000419	1069	1222	1493	1486	837	1127	1212	1188	1318	1446	692	860	1507	939	942	1236	1202	1979
ENSG00000000457	741	870	586	796	606	570	700	762	1131	647	279	576	972	441	728	827	828	1278
ENSG00000000460	410	228	157	457	243	185	269	231	315	503	68	207	939	162	196	206	382	503
ENSG00000000938	318	348	177	635	421	390	602	149	506	531	253	245	418	581	843	259	578	1024
ENSG00000000971	275	1306	841	3604	572	1025	788	532	866	691	157	148	475	607	426	409	982	3884
ENSG00000001036	967	1181	223	3212	1378	2336	522	1469	855	2284	647	976	1962	644	980	138	2210	1930
ENSG00000001084	7285	6014	1793	3565	3084	1680	1804	8519	5465	1967	1053	10502	2986	6639	1827	770	6441	15473
ENSG00000001167	1849	2565	1865	1219	1315	1254	2227	1372	3203	2186	450	1202	1260	2272	1607	1368	1404	2937
ENSG00000001460	208	218	17	783	332	97	214	69	336	376	149	71	102	334	192	18	78	162
ENSG00000001461	2536	1530	329	5729	4406	1059	1527	2176	3618	2216	1997	1663	1831	4354	3272	351	1552	4075
ENSG00000001497	3172	2137	3477	1770	2826	2431	4630	2859	5008	3495	2544	2402	3681	4554	5797	3349	3107	4594
ENSG00000001561	2353	2123	1846	2242	3222	3010	1068	1958	2982	870	912	1700	1309	2551	2242	2119	1766	5737
ENSG00000001617	167	264	366	878	150	1020	977	77	104	1607	1215	43	222	136	627	325	189	207
ENSG00000001626	352	213	479	15	130	64	276	415	345	6892	16	212	418	162	194	461	126	347
ENSG00000001629	8479	8269	5601	9388	7336	5314	3775	12950	11610	4200	1591	7664	5440	5429	5175	9505	10969	19804
ENSG00000001630	532	776	89	1557	868	101	406	503	1046	300	37	379	566	438	223	735	253	345
ENSG00000001631	2040	1821	1739	2611	1829	1328	1522	3133	2533	1582	398	1805	2219	1776	1482	2886	2098	3591
ENSG00000002016	1167	539	1484	517	631	316	1418	2158	902	493	246	733	908	1058	1373	1236	844	1081
ENSG00000002079	21	12	34	15	13	13	59	30	24	26	11	14	40	15	18	38	7	32
ENSG00000002330	2762	2496	2586	4266	1941	3249	2751	3174	2550	4485	6161	1907	3542	2520	2671	2910	2336	4907
ENSG00000002549	4413	5404	4350	14519	3253	7745	3251	5837	5493	7903	3566	3021	9895	3389	11323	1660	30060	9879
